U[m/s]	f[Hz]	Noise[Hz^-1/2]
0.1	1.0	4.99667e-24
0.1	1.10069	2.79864e-24
0.1	1.21153	1.56863e-24
0.1	1.33352	8.79674e-25
0.1	1.4678	4.93544e-25
0.1	1.6156	2.76982e-25
0.1	1.77828	1.55452e-25
0.1	1.95734	8.72402e-26
0.1	2.15443	4.89311e-26
0.1	2.37137	2.74101e-26
0.1	2.61016	1.53174e-26
0.1	2.87298	8.52582e-27
0.1	3.16228	4.71103e-27
0.1	3.4807	2.57504e-27
0.1	3.83119	1.38342e-27
0.1	4.21697	7.25293e-28
0.1	4.64159	3.67262e-28
0.1	5.10897	1.77458e-28
0.1	5.62341	8.05981e-29
0.1	6.18966	3.38045e-29
0.1	6.81292	1.2818e-29
0.1	7.49894	4.28647e-30
0.1	8.25404	1.22672e-30
0.1	9.08518	2.89909e-31
0.1	10.0	5.42229e-32
0.1	1.0	1.17957e-20
0.1	1.10069	6.00908e-21
0.1	1.21153	2.9707e-21
0.1	1.33352	1.4208e-21
0.1	1.4678	6.55362e-22
0.1	1.6156	2.90479e-22
0.1	1.77828	1.23242e-22
0.1	1.95734	4.98335e-23
0.1	2.15443	1.91107e-23
0.1	2.37137	6.91489e-24
0.1	2.61016	2.34748e-24
0.1	2.87298	7.42792e-25
0.1	3.16228	2.17634e-25
0.1	3.4807	5.86125e-26
0.1	3.83119	1.44551e-26
0.1	4.21697	3.29633e-27
0.1	4.64159	7.6753e-28
0.1	5.10897	2.38879e-28
0.1	5.62341	9.80607e-29
0.1	6.18966	4.09993e-29
0.1	6.81292	1.58057e-29
0.1	7.49894	5.42289e-30
0.1	8.25404	1.60717e-30
0.1	9.08518	3.97683e-31
0.1	10.0	7.89373e-32
0.1	1.0	1.69655e-20
0.1	1.10069	8.85677e-21
0.1	1.21153	4.49768e-21
0.1	1.33352	2.21562e-21
0.1	1.4678	1.05561e-21
0.1	1.6156	4.84835e-22
0.1	1.77828	2.13889e-22
0.1	1.95734	9.02823e-23
0.1	2.15443	3.62966e-23
0.1	2.37137	1.38308e-23
0.1	2.61016	4.96994e-24
0.1	2.87298	1.67435e-24
0.1	3.16228	5.25309e-25
0.1	3.4807	1.52465e-25
0.1	3.83119	4.06175e-26
0.1	4.21697	9.88132e-27
0.1	4.64159	2.1977e-27
0.1	5.10897	4.73207e-28
0.1	5.62341	1.23413e-28
0.1	6.18966	4.38694e-29
0.1	6.81292	1.6527e-29
0.1	7.49894	5.6816e-30
0.1	8.25404	1.69528e-30
0.1	9.08518	4.23488e-31
0.1	10.0	8.51503e-32
0.1	1.0	2.33064e-20
0.1	1.10069	1.24229e-20
0.1	1.21153	6.45448e-21
0.1	1.33352	3.26048e-21
0.1	1.4678	1.59689e-21
0.1	1.6156	7.56014e-22
0.1	1.77828	3.44823e-22
0.1	1.95734	1.50948e-22
0.1	2.15443	6.31741e-23
0.1	2.37137	2.51606e-23
0.1	2.61016	9.49028e-24
0.1	2.87298	3.3717e-24
0.1	3.16228	1.12191e-24
0.1	3.4807	3.47174e-25
0.1	3.83119	9.92421e-26
0.1	4.21697	2.59969e-26
0.1	4.64159	6.20115e-27
0.1	5.10897	1.34314e-27
0.1	5.62341	2.72951e-28
0.1	6.18966	6.12861e-29
0.1	6.81292	1.83012e-29
0.1	7.49894	6.02349e-30
0.1	8.25404	1.79919e-30
0.1	9.08518	4.53987e-31
0.1	10.0	9.26123e-32
0.1	1.0	3.08525e-20
0.1	1.10069	1.67429e-20
0.1	1.21153	8.87219e-21
0.1	1.33352	4.58021e-21
0.1	1.4678	2.29711e-21
0.1	1.6156	1.11623e-21
0.1	1.77828	5.2396e-22
0.1	1.95734	2.36697e-22
0.1	2.15443	1.02539e-22
0.1	2.37137	4.24308e-23
0.1	2.61016	1.66867e-23
0.1	2.87298	6.20702e-24
0.1	3.16228	2.17183e-24
0.1	3.4807	7.10533e-25
0.1	3.83119	2.15865e-25
0.1	4.21697	6.04566e-26
0.1	4.64159	1.54845e-26
0.1	5.10897	3.60052e-27
0.1	5.62341	7.56245e-28
0.1	6.18966	1.45987e-28
0.1	6.81292	2.88408e-29
0.1	7.49894	7.05897e-30
0.1	8.25404	1.95302e-30
0.1	9.08518	4.91278e-31
0.1	10.0	1.01682e-31
0.1	1.0	3.96246e-20
0.1	1.10069	2.18425e-20
0.1	1.21153	1.17747e-20
0.1	1.33352	6.19317e-21
0.1	1.4678	3.17136e-21
0.1	1.6156	1.57666e-21
0.1	1.77828	7.58669e-22
0.1	1.95734	3.52283e-22
0.1	2.15443	1.57302e-22
0.1	2.37137	6.72688e-23
0.1	2.61016	2.7437e-23
0.1	2.87298	1.06223e-23
0.1	3.16228	3.88363e-24
0.1	3.4807	1.33349e-24
0.1	3.83119	4.2717e-25
0.1	4.21697	1.26828e-25
0.1	4.64159	3.46307e-26
0.1	5.10897	8.62656e-27
0.1	5.62341	1.94411e-27
