Energy loss[m^2/s^3]	f[Hz]	Noise[Hz^-1/2]
0.01	1.0	5.97339e-21
0.01	1.10069	2.97563e-21
0.01	1.21153	1.43534e-21
0.01	1.33352	6.68172e-22
0.01	1.4678	2.99157e-22
0.01	1.6156	1.28326e-22
0.01	1.77828	5.25108e-23
0.01	1.95734	2.04053e-23
0.01	2.15443	7.48861e-24
0.01	2.37137	2.58199e-24
0.01	2.61016	8.3112e-25
0.01	2.87298	2.48006e-25
0.01	3.16228	6.80935e-26
0.01	3.4807	1.70561e-26
0.01	3.83119	3.86395e-27
0.01	4.21697	7.83508e-28
0.01	4.64159	1.40633e-28
0.01	5.10897	2.2079e-29
0.01	5.62341	2.99173e-30
0.01	6.18966	3.44728e-31
0.01	6.81292	3.32338e-32
0.01	7.49894	2.63287e-33
0.01	8.25404	1.68202e-34
0.01	9.08518	8.48106e-36
0.01	10.0	3.29705e-37
0.02	1.0	6.67223e-21
0.02	1.10069	3.32528e-21
0.02	1.21153	1.60461e-21
0.02	1.33352	7.4732e-22
0.02	1.4678	3.34744e-22
0.02	1.6156	1.43667e-22
0.02	1.77828	5.88285e-23
0.02	1.95734	2.28728e-23
0.02	2.15443	8.40302e-24
0.02	2.37137	2.89992e-24
0.02	2.61016	9.34232e-25
0.02	2.87298	2.79094e-25
0.02	3.16228	7.67322e-26
0.02	3.4807	1.92518e-26
0.02	3.83119	4.36899e-27
0.02	4.21697	8.87883e-28
0.02	4.64159	1.60426e-28
0.02	5.10897	2.55882e-29
0.02	5.62341	3.63417e-30
0.02	6.18966	4.73563e-31
0.02	6.81292	5.80415e-32
0.02	7.49894	6.37425e-33
0.02	8.25404	5.71889e-34
0.02	9.08518	3.92978e-35
0.02	10.0	2.01118e-36
0.03	1.0	7.05822e-21
0.03	1.10069	3.51855e-21
0.03	1.21153	1.69814e-21
0.03	1.33352	7.9114e-22
0.03	1.4678	3.54486e-22
0.03	1.6156	1.52212e-22
0.03	1.77828	6.2351e-23
0.03	1.95734	2.42564e-23
0.03	2.15443	8.91575e-24
0.03	2.37137	3.07871e-24
0.03	2.61016	9.92595e-25
0.03	2.87298	2.96745e-25
0.03	3.16228	8.16539e-26
0.03	3.4807	2.05117e-26
0.03	3.83119	4.66095e-27
0.03	4.21697	9.52366e-28
0.03	4.64159	1.74813e-28
0.03	5.10897	2.98864e-29
0.03	5.62341	5.35695e-30
0.03	6.18966	1.07858e-30
0.03	6.81292	2.08799e-31
0.03	7.49894	3.32053e-32
0.03	8.25404	4.00428e-33
0.03	9.08518	3.48618e-34
0.03	10.0	2.11748e-35
0.04	1.0	7.47184e-21
0.04	1.10069	3.72567e-21
0.04	1.21153	1.79886e-21
0.04	1.33352	8.38404e-22
0.04	1.4678	3.7582e-22
0.04	1.6156	1.61432e-22
0.04	1.77828	6.61701e-23
0.04	1.95734	2.57558e-23
0.04	2.15443	9.4725e-24
0.04	2.37137	3.27335e-24
0.04	2.61016	1.05625e-24
0.04	2.87298	3.16152e-25
0.04	3.16228	8.70923e-26
0.04	3.4807	2.19047e-26
0.04	3.83119	4.9983e-27
0.04	4.21697	1.03214e-27
0.04	4.64159	1.99859e-28
0.04	5.10897	4.23989e-29
0.04	5.62341	1.14456e-29
0.04	6.18966	3.26813e-30
0.04	6.81292	8.20806e-31
0.04	7.49894	1.6812e-31
0.04	8.25404	2.67326e-32
0.04	9.08518	3.13998e-33
0.04	10.0	2.58448e-34
0.05	1.0	7.69011e-21
0.05	1.10069	3.83523e-21
0.05	1.21153	1.85201e-21
0.05	1.33352	8.63272e-22
0.05	1.4678	3.87125e-22
0.05	1.6156	1.66336e-22
0.05	1.77828	6.8197e-23
0.05	1.95734	2.65546e-23
0.05	2.15443	9.77103e-24
0.05	2.37137	3.37821e-24
0.05	2.61016	1.09054e-24
0.05	2.87298	3.26598e-25
0.05	3.16228	9.0028e-26
0.05	3.4807	2.26669e-26
0.05	3.83119	5.18587e-27
0.05	4.21697	1.08253e-27
0.05	4.64159	2.21003e-28
0.05	5.10897	5.49325e-29
0.05	5.62341	1.74541e-29
0.05	6.18966	5.53675e-30
0.05	6.81292	1.53368e-30
0.05	7.49894	3.51457e-31
0.05	8.25404	6.37813e-32
0.05	9.08518	8.73774e-33
0.05	10.0	8.55789e-34
0.06	1.0	7.91794e-21
0.06	1.10069	3.94945e-21
0.06	1.21153	1.90756e-21
0.06	1.33352	8.89424e-22
0.06	1.4678	3.98917e-22
0.06	1.6156	1.7145e-22
0.06	1.77828	7.03207e-23
0.06	1.95734	2.73921e-23
0.06	2.15443	1.0083e-23
0.06	2.37137	3.48797e-24
0.06	2.61016	1.12668e-24
0.06	2.87298	3.37597e-25
0.06	3.16228	9.31363e-26
0.06	3.4807	2.34944e-26
0.06	3.83119	5.39084e-27
0.06	4.21697	1.14347e-27
0.06	4.64159	2.5169e-28
0.06	5.10897	7.35703e-29
0.06	5.62341	2.63456e-29
0.06	6.18966	9.07727e-30
0.06	6.81292	2.74367e-30
0.06	7.49894	6.97482e-31
0.06	8.25404	1.43331e-31
0.06	9.08518	2.27553e-32
0.06	10.0	2.64794e-33
0.07	1.0	8.15322e-21
0.07	1.10069	4.06788e-21
0.07	1.21153	1.96529e-21
0.07	1.33352	9.16601e-22
0.07	1.4678	4.11226e-22
0.07	1.6156	1.76803e-22
0.07	1.77828	7.25416e-23
0.07	1.95734	2.82695e-23
0.07	2.15443	1.04113e-23
0.07	2.37137	3.60353e-24
0.07	2.61016	1.16473e-24
0.07	2.87298	3.49223e-25
0.07	3.16228	9.6435e-26
0.07	3.4807	2.43709e-26
0.07	3.83119	5.62047e-27
0.07	4.21697	1.21983e-27
0.07	4.64159	2.95517e-28
0.07	5.10897	9.98056e-29
0.07	5.62341	3.89958e-29
0.07	6.18966	1.43966e-29
0.07	6.81292	4.70723e-30
0.07	7.49894	1.31607e-30
0.07	8.25404	3.03472e-31
0.07	9.08518	5.53224e-32
0.07	10.0	7.58714e-33
0.08	1.0	8.399e-21
0.08	1.10069	4.19149e-21
0.08	1.21153	2.02556e-21
0.08	1.33352	9.44931e-22
0.08	1.4678	4.24093e-22
0.08	1.6156	1.82399e-22
0.08	1.77828	7.48755e-23
0.08	1.95734	2.91914e-23
0.08	2.15443	1.07566e-23
0.08	2.37137	3.72527e-24
0.08	2.61016	1.20495e-24
0.08	2.87298	3.61589e-25
0.08	3.16228	9.99681e-26
0.08	3.4807	2.53159e-26
0.08	3.83119	5.87723e-27
0.08	4.21697	1.31767e-27
0.08	4.64159	3.56158e-28
0.08	5.10897	1.35297e-28
0.08	5.62341	5.64625e-29
0.08	6.18966	2.21229e-29
0.08	6.81292	7.76434e-30
0.08	7.49894	2.36709e-30
0.08	8.25404	6.06689e-31
0.08	9.08518	1.25699e-31
0.08	10.0	2.00975e-32
0.09	1.0	8.6558e-21
0.09	1.10069	4.32027e-21
0.09	1.21153	2.08849e-21
0.09	1.33352	9.74583e-22
0.09	1.4678	4.37581e-22
0.09	1.6156	1.8828e-22
0.09	1.77828	7.73205e-23
0.09	1.95734	3.01631e-23
0.09	2.15443	1.11212e-23
0.09	2.37137	3.85414e-24
0.09	2.61016	1.24759e-24
0.09	2.87298	3.74745e-25
0.09	3.16228	1.03732e-25
0.09	3.4807	2.63384e-26
0.09	3.83119	6.17191e-27
0.09	4.21697	1.44421e-27
0.09	4.64159	4.37701e-28
0.09	5.10897	1.82079e-28
0.09	5.62341	7.99981e-29
0.09	6.18966	3.30236e-29
0.09	6.81292	1.23513e-29
0.09	7.49894	4.07326e-30
0.09	8.25404	1.14921e-30
0.09	9.08518	2.67702e-31
0.09	10.0	4.93058e-32
0.11	1.0	8.92288e-21
0.11	1.10069	4.45527e-21
0.11	1.21153	2.15436e-21
0.11	1.33352	1.00575e-21
0.11	1.4678	4.517e-22
0.11	1.6156	1.94449e-22
0.11	1.77828	7.99008e-23
0.11	1.95734	3.11868e-23
0.11	2.15443	1.15064e-23
0.11	2.37137	3.99054e-24
0.11	2.61016	1.29294e-24
0.11	2.87298	3.88785e-25
0.11	3.16228	1.07809e-25
0.11	3.4807	2.74633e-26
0.11	3.83119	6.51589e-27
0.11	4.21697	1.6095e-27
0.11	4.64159	5.4445e-28
0.11	5.10897	2.42497e-28
0.11	5.62341	1.11088e-28
0.11	6.18966	4.80085e-29
0.11	6.81292	1.90065e-29
0.11	7.49894	6.72776e-30
0.11	8.25404	2.07091e-30
0.11	9.08518	5.36383e-31
0.11	10.0	1.12469e-31
0.13	1.0	9.20292e-21
0.13	1.10069	4.59627e-21
0.13	1.21153	2.2234e-21
0.13	1.33352	1.03831e-21
0.13	1.4678	4.66573e-22
0.13	1.6156	2.00956e-22
0.13	1.77828	8.26177e-23
0.13	1.95734	3.22701e-23
0.13	2.15443	1.19141e-23
0.13	2.37137	4.13581e-24
0.13	2.61016	1.34136e-24
0.13	2.87298	4.03885e-25
0.13	3.16228	1.12198e-25
0.13	3.4807	2.87061e-26
0.13	3.83119	6.92417e-27
0.13	4.21697	1.82436e-27
0.13	4.64159	6.81425e-28
0.13	5.10897	3.19444e-28
0.13	5.62341	1.51479e-28
0.13	6.18966	6.81486e-29
0.13	6.81292	2.83811e-29
0.13	7.49894	1.07032e-29
0.13	8.25404	3.56336e-30
0.13	9.08518	1.01657e-30
0.13	10.0	2.39747e-31
0.15	1.0	9.4961e-21
0.15	1.10069	4.74424e-21
0.15	1.21153	2.29584e-21
0.15	1.33352	1.07266e-21
0.15	1.4678	4.82249e-22
0.15	1.6156	2.07826e-22
0.15	1.77828	8.54951e-23
0.15	1.95734	3.34183e-23
0.15	2.15443	1.23489e-23
0.15	2.37137	4.29054e-24
0.15	2.61016	1.39307e-24
0.15	2.87298	4.2012e-25
0.15	3.16228	1.16984e-25
0.15	3.4807	3.00941e-26
0.15	3.83119	7.41815e-27
0.15	4.21697	2.10246e-27
0.15	4.64159	8.5473e-28
0.15	5.10897	4.16347e-28
0.15	5.62341	2.03238e-28
0.15	6.18966	9.4688e-29
0.15	6.81292	4.12408e-29
0.15	7.49894	1.64589e-29
0.15	8.25404	5.88112e-30
0.15	9.08518	1.82948e-30
0.15	10.0	4.79952e-31
0.17	1.0	9.80397e-21
0.17	1.10069	4.8998e-21
0.17	1.21153	2.3721e-21
