r0[m]	epsilon[m^2/s^3]	U[m/s]	f[Hz]	Noise[Hz^-1/2]
5	0.01	1	1.04811	1.73578e-25
5	0.01	1	1.09854	1.30489e-25
5	0.01	1	1.1514	9.80592e-26
5	0.01	1	1.20679	7.36384e-26
5	0.01	1	1.26486	5.52563e-26
5	0.01	1	1.32571	4.14143e-26
5	0.01	1	1.3895	3.09935e-26
5	0.01	1	1.45635	2.31484e-26
5	0.01	1	1.52642	1.72452e-26
5	0.01	1	1.59986	1.28091e-26
5	0.01	1	1.67683	9.47703e-27
5	0.01	1	1.75751	6.98061e-27
5	0.01	1	1.84207	5.11265e-27
5	0.01	1	1.9307	3.71994e-27
5	0.01	1	2.02359	2.68534e-27
5	0.01	1	2.12095	1.92086e-27
5	0.01	1	2.223	1.35944e-27
5	0.01	1	2.32995	9.50393e-28
5	0.01	1	2.44205	6.55151e-28
5	0.01	1	2.55955	4.44515e-28
5	0.01	1	2.6827	2.96131e-28
5	0.01	1	2.81177	1.9334e-28
5	0.01	1	2.94705	1.2337e-28
5	0.01	1	3.08884	7.67404e-29
5	0.01	1	3.23746	4.6386e-29
5	0.01	1	3.39322	2.71661e-29
5	0.01	1	3.55648	1.53623e-29
5	0.01	1	3.72759	8.35392e-30
5	0.01	1	3.90694	4.35041e-30
5	0.01	1	4.09492	2.1604e-30
5	0.01	1	4.29193	1.01791e-30
5	0.01	1	4.49843	4.52667e-31
5	0.01	1	4.71487	1.88778e-31
5	0.01	1	4.94171	7.33709e-32
5	0.01	1	5.17947	2.6393e-32
5	0.01	1	5.42868	8.71562e-33
5	0.01	1	5.68987	2.62039e-33
5	0.01	1	5.96362	7.10389e-34
5	0.01	1	6.25055	1.71804e-34
5	0.01	1	6.55129	3.67321e-35
5	0.01	1	6.86649	6.8402e-36
5	0.01	1	7.19686	1.09553e-36
5	0.01	1	7.54312	1.48683e-37
5	0.01	1	7.90604	1.68119e-38
5	0.01	1	8.28643	1.5559e-39
5	0.01	1	8.68511	1.15627e-40
5	0.01	1	9.10298	6.7438e-42
5	0.01	1	9.54095	3.01386e-43
5	0.01	1	10.0	1.00674e-44
5	0.01	5	1.04811	5.77437e-23
5	0.01	5	1.09854	3.4937e-23
5	0.01	5	1.1514	2.08188e-23
5	0.01	5	1.20679	1.22119e-23
5	0.01	5	1.26486	7.04396e-24
