U[m/s]	psi[rad]	Noise[Hz^-1/2]
1	0.0641141	7.65795e-26
1	0.128228	7.65793e-26
1	0.192342	7.65753e-26
1	0.256457	7.65631e-26
1	0.320571	7.65576e-26
1	0.384685	7.65473e-26
1	0.448799	7.6535e-26
1	0.512913	7.6521e-26
1	0.577027	7.65036e-26
1	0.641141	7.6489e-26
1	0.705255	7.64726e-26
1	0.76937	7.64569e-26
1	0.833484	7.64424e-26
1	0.897598	7.64256e-26
1	0.961712	7.64064e-26
1	1.02583	7.63924e-26
1	1.08994	7.6377e-26
1	1.15405	7.63644e-26
1	1.21817	7.6353e-26
1	1.28228	7.63401e-26
1	1.3464	7.63324e-26
1	1.41051	7.63265e-26
1	1.47463	7.6321e-26
1	1.53874	7.63205e-26
1	1.60285	7.6319e-26
1	1.66697	7.632e-26
1	1.73108	7.63282e-26
1	1.7952	7.63335e-26
1	1.85931	7.63422e-26
1	1.92342	7.63531e-26
1	1.98754	7.6362e-26
1	2.05165	7.63748e-26
1	2.11577	7.63915e-26
1	2.17988	7.64071e-26
1	2.24399	7.64233e-26
1	2.30811	7.64411e-26
1	2.37222	7.64551e-26
1	2.43634	7.64726e-26
1	2.50045	7.64898e-26
1	2.56457	7.65052e-26
1	2.62868	7.65209e-26
1	2.69279	7.65341e-26
1	2.75691	7.65434e-26
1	2.82102	7.65571e-26
1	2.88514	7.6569e-26
1	2.94925	7.65774e-26
1	3.01336	7.65811e-26
1	3.07748	7.65812e-26
1	3.14159	7.65795e-26
5	0.0641141	9.22706e-26
5	0.128228	9.2124e-26
5	0.192342	9.18981e-26
5	0.256457	9.15791e-26
5	0.320571	9.11762e-26
5	0.384685	9.06965e-26
5	0.448799	9.0151e-26
5	0.512913	8.95388e-26
5	0.577027	8.88696e-26
5	0.641141	8.81543e-26
5	0.705255	8.74074e-26
5	0.76937	8.6638e-26
5	0.833484	8.58621e-26
5	0.897598	8.5089e-26
5	0.961712	8.43264e-26
5	1.02583	8.36002e-26
5	1.08994	8.29079e-26
5	1.15405	8.22708e-26
5	1.21817	8.17009e-26
