Energy loss[m^2/s^3]	U[m/s]	r0[m]	Noise[Hz^-1/2]
0.01	1	1.08311	1.58751e-26
0.01	1	1.17313	1.42191e-26
0.01	1	1.27063	1.28284e-26
0.01	1	1.37623	1.16241e-26
0.01	1	1.49061	1.05671e-26
0.01	1	1.6145	9.63057e-27
0.01	1	1.74868	8.79505e-27
0.01	1	1.89401	8.04601e-27
0.01	1	2.05143	7.37124e-27
0.01	1	2.22192	6.76094e-27
0.01	1	2.40659	6.20766e-27
0.01	1	2.6066	5.70407e-27
0.01	1	2.82324	5.24554e-27
0.01	1	3.05788	4.82654e-27
0.01	1	3.31202	4.44347e-27
0.01	1	3.58728	4.09234e-27
0.01	1	3.88543	3.7707e-27
0.01	1	4.20835	3.47413e-27
0.01	1	4.5581	3.20267e-27
0.01	1	4.93693	2.95314e-27
0.01	1	5.34724	2.72342e-27
0.01	1	5.79166	2.51148e-27
0.01	1	6.27301	2.31739e-27
0.01	1	6.79436	2.13747e-27
0.01	1	7.35904	1.97304e-27
0.01	1	7.97066	1.82028e-27
0.01	1	8.63311	1.67891e-27
0.01	1	9.35061	1.55071e-27
0.01	1	10.1277	1.43099e-27
0.01	1	10.9695	1.32035e-27
0.01	1	11.8812	1.21837e-27
0.01	1	12.8686	1.12568e-27
0.01	1	13.9381	1.03833e-27
0.01	1	15.0965	9.59175e-28
0.01	1	16.3512	8.82182e-28
0.01	1	17.7102	8.16439e-28
0.01	1	19.1821	7.53038e-28
0.01	1	20.7763	6.9175e-28
0.01	1	22.5031	6.42873e-28
0.01	1	24.3733	5.87234e-28
0.01	1	26.399	5.46466e-28
0.01	1	28.593	5.03462e-28
0.01	1	30.9694	4.62833e-28
0.01	1	33.5433	4.31056e-28
0.01	1	36.3311	3.97122e-28
0.01	1	39.3506	3.63997e-28
0.01	1	42.6211	3.37662e-28
0.01	1	46.1633	3.1253e-28
0.01	1	50.0	2.86307e-28
0.01	5	1.08311	2.51431e-22
0.01	5	1.17313	1.98694e-22
0.01	5	1.27063	1.54065e-22
0.01	5	1.37623	1.17035e-22
0.01	5	1.49061	8.69388e-23
0.01	5	1.6145	6.30648e-23
0.01	5	1.74868	4.45672e-23
0.01	5	1.89401	3.06273e-23
0.01	5	2.05143	2.04194e-23
0.01	5	2.22192	1.31744e-23
0.01	5	2.40659	8.20466e-24
0.01	5	2.6066	4.91785e-24
0.01	5	2.82324	2.82811e-24
0.01	5	3.05788	1.55548e-24
0.01	5	3.31202	8.15163e-25
0.01	5	3.58728	4.05421e-25
0.01	5	3.88543	1.90636e-25
0.01	5	4.20835	8.44145e-26
0.01	5	4.5581	3.51445e-26
0.01	5	4.93693	1.39437e-26
0.01	5	5.34724	5.78936e-27
0.01	5	5.79166	3.29457e-27
0.01	5	6.27301	2.64958e-27
0.01	5	6.79436	2.36433e-27
0.01	5	7.35904	2.1454e-27
0.01	5	7.97066	1.95408e-27
0.01	5	8.63311	1.78383e-27
0.01	5	9.35061	1.63153e-27
0.01	5	10.1277	1.49438e-27
0.01	5	10.9695	1.37036e-27
0.01	5	11.8812	1.25796e-27
0.01	5	12.8686	1.15505e-27
0.01	5	13.9381	1.06255e-27
0.01	5	15.0965	9.77681e-28
0.01	5	16.3512	8.99976e-28
0.01	5	17.7102	8.27788e-28
0.01	5	19.1821	7.63233e-28
0.01	5	20.7763	6.99255e-28
0.01	5	22.5031	6.46997e-28
0.01	5	24.3733	5.95889e-28
0.01	5	26.399	5.49247e-28
0.01	5	28.593	5.06427e-28
0.01	5	30.9694	4.68788e-28
0.01	5	33.5433	4.29409e-28
0.01	5	36.3311	3.96706e-28
0.01	5	39.3506	3.68186e-28
0.01	5	42.6211	3.36604e-28
0.01	5	46.1633	3.13536e-28
0.01	5	50.0	2.89186e-28
0.01	10	1.08311	2.63947e-21
0.01	10	1.17313	2.34044e-21
0.01	10	1.27063	2.05526e-21
0.01	10	1.37623	1.78608e-21
0.01	10	1.49061	1.53448e-21
0.01	10	1.6145	1.30243e-21
0.01	10	1.74868	1.09075e-21
0.01	10	1.89401	9.00459e-22
0.01	10	2.05143	7.32007e-22
0.01	10	2.22192	5.85175e-22
0.01	10	2.40659	4.59306e-22
0.01	10	2.6066	3.53621e-22
0.01	10	2.82324	2.66501e-22
0.01	10	3.05788	1.9629e-22
0.01	10	3.31202	1.41045e-22
0.01	10	3.58728	9.86904e-23
0.01	10	3.88543	6.70733e-23
0.01	10	4.20835	4.41746e-23
0.01	10	4.5581	2.81283e-23
0.01	10	4.93693	1.72661e-23
0.01	10	5.34724	1.01872e-23
0.01	10	5.79166	5.7578e-24
0.01	10	6.27301	3.10733e-24
0.01	10	6.79436	1.59494e-24
0.01	10	7.35904	7.75412e-25
0.01	10	7.97066	3.5546e-25
0.01	10	8.63311	1.52949e-25
0.01	10	9.35061	6.14464e-26
0.01	10	10.1277	2.29446e-26
0.01	10	10.9695	8.03411e-27
0.01	10	11.8812	2.85373e-27
0.01	10	12.8686	1.45051e-27
0.01	10	13.9381	1.15941e-27
0.01	10	15.0965	1.04183e-27
0.01	10	16.3512	9.48013e-28
0.01	10	17.7102	8.66574e-28
0.01	10	19.1821	7.91661e-28
0.01	10	20.7763	7.26742e-28
