uref[m/s]	f[Hz]	Noise[Hz^-1/2]
10.17241379	1.0	1.28745e-20
10.17241379	1.07978	7.71666e-21
10.17241379	1.16591	4.55584e-21
10.17241379	1.25893	2.64706e-21
10.17241379	1.35936	1.51166e-21
10.17241379	1.4678	8.47439e-22
10.17241379	1.58489	4.65764e-22
10.17241379	1.71133	2.50619e-22
10.17241379	1.84785	1.31818e-22
10.17241379	1.99526	6.76661e-23
10.17241379	2.15443	3.38465e-23
10.17241379	2.32631	1.64749e-23
10.17241379	2.51189	7.79865e-24
10.17241379	2.71227	3.59305e-24
10.17241379	2.92864	1.61992e-24
10.17241379	3.16228	7.25916e-25
10.17241379	3.41455	3.34857e-25
10.17241379	3.68695	1.67161e-25
10.17241379	3.98107	9.26568e-26
10.17241379	4.29866	5.55301e-26
10.17241379	4.64159	3.44797e-26
10.17241379	5.01187	2.16278e-26
10.17241379	5.4117	1.35914e-26
10.17241379	5.84341	8.54428e-27
10.17241379	6.30957	5.37991e-27
10.17241379	6.81292	3.39132e-27
10.17241379	7.35642	2.13914e-27
10.17241379	7.94328	1.34967e-27
10.17241379	8.57696	8.51264e-28
10.17241379	9.26119	5.36915e-28
10.17241379	10.0	3.38636e-28
11.03448276	1.0	1.89321e-20
11.03448276	1.07978	1.15631e-20
11.03448276	1.16591	6.96599e-21
11.03448276	1.25893	4.13568e-21
11.03448276	1.35936	2.41721e-21
11.03448276	1.4678	1.38935e-21
11.03448276	1.58489	7.84337e-22
11.03448276	1.71133	4.34338e-22
11.03448276	1.84785	2.3558e-22
11.03448276	1.99526	1.24991e-22
11.03448276	2.15443	6.47473e-23
11.03448276	2.32631	3.27036e-23
11.03448276	2.51189	1.60802e-23
11.03448276	2.71227	7.68732e-24
11.03448276	2.92864	3.57318e-24
11.03448276	3.16228	1.61915e-24
11.03448276	3.41455	7.22579e-25
11.03448276	3.68695	3.2566e-25
11.03448276	3.98107	1.55266e-25
11.03448276	4.29866	8.18552e-26
11.03448276	4.64159	4.75194e-26
11.03448276	5.01187	2.91041e-26
11.03448276	5.4117	1.81744e-26
11.03448276	5.84341	1.14064e-26
11.03448276	6.30957	7.17004e-27
11.03448276	6.81292	4.51315e-27
11.03448276	7.35642	2.84442e-27
11.03448276	7.94328	1.7945e-27
11.03448276	8.57696	1.13207e-27
11.03448276	9.26119	7.1408e-28
11.03448276	10.0	4.50367e-28
11.89655172	1.0	2.64284e-20
11.89655172	1.07978	1.63985e-20
11.89655172	1.16591	1.00478e-20
11.89655172	1.25893	6.07434e-21
11.89655172	1.35936	3.61998e-21
11.89655172	1.4678	2.12432e-21
11.89655172	1.58489	1.22645e-21
11.89655172	1.71133	6.95668e-22
11.89655172	1.84785	3.87209e-22
11.89655172	1.99526	2.11194e-22
11.89655172	2.15443	1.12709e-22
11.89655172	2.32631	5.87641e-23
11.89655172	2.51189	2.98814e-23
11.89655172	2.71227	1.47953e-23
11.89655172	2.92864	7.12432e-24
11.89655172	3.16228	3.33341e-24
11.89655172	3.41455	1.518e-24
11.89655172	3.68695	6.77434e-25
11.89655172	3.98107	3.01887e-25
11.89655172	4.29866	1.39884e-25
11.89655172	4.64159	7.09081e-26
11.89655172	5.01187	3.99152e-26
11.89655172	5.4117	2.40782e-26
11.89655172	5.84341	1.49535e-26
11.89655172	6.30957	9.36973e-27
11.89655172	6.81292	5.88681e-27
11.89655172	7.35642	3.70472e-27
11.89655172	7.94328	2.33546e-27
11.89655172	8.57696	1.47322e-27
