z0[m]	f[Hz]	Noise[Hz^-1/2]
0.01	1.0	7.71611e-21
0.01	1.07978	4.43095e-21
0.01	1.16591	2.49568e-21
0.01	1.25893	1.37733e-21
0.01	1.35936	7.44199e-22
0.01	1.4678	3.93454e-22
0.01	1.58489	2.03568e-22
0.01	1.71133	1.03296e-22
0.01	1.84785	5.17286e-23
0.01	1.99526	2.59703e-23
0.01	2.15443	1.34822e-23
0.01	2.32631	7.52944e-24
0.01	2.51189	4.61158e-24
0.01	2.71227	3.03691e-24
0.01	2.92864	2.0774e-24
0.01	3.16228	1.44102e-24
0.01	3.41455	1.00222e-24
0.01	3.68695	6.9545e-25
0.01	3.98107	4.80192e-25
0.01	4.29866	3.29452e-25
0.01	4.64159	2.24272e-25
0.01	5.01187	1.51294e-25
0.01	5.4117	1.0103e-25
0.01	5.84341	6.67531e-26
0.01	6.30957	4.36292e-26
0.01	6.81292	2.82323e-26
0.01	7.35642	1.81156e-26
0.01	7.94328	1.15572e-26
0.01	8.57696	7.3439e-27
0.01	9.26119	4.65441e-27
0.01	10.0	2.94083e-27
0.01172102	1.0	7.84225e-21
0.01172102	1.07978	4.5106e-21
0.01172102	1.16591	2.54532e-21
0.01172102	1.25893	1.40777e-21
0.01172102	1.35936	7.62521e-22
0.01172102	1.4678	4.04254e-22
0.01172102	1.58489	2.09799e-22
0.01172102	1.71133	1.06817e-22
0.01172102	1.84785	5.36818e-23
0.01172102	1.99526	2.70374e-23
0.01172102	2.15443	1.40635e-23
0.01172102	2.32631	7.84659e-24
0.01172102	2.51189	4.78717e-24
0.01172102	2.71227	3.13504e-24
0.01172102	2.92864	2.13101e-24
0.01172102	3.16228	1.46753e-24
0.01172102	3.41455	1.01185e-24
0.01172102	3.68695	6.94748e-25
0.01172102	3.98107	4.73685e-25
0.01172102	4.29866	3.20207e-25
0.01172102	4.64159	2.14338e-25
0.01172102	5.01187	1.41957e-25
0.01172102	5.4117	9.29981e-26
0.01172102	5.84341	6.03108e-26
0.01172102	6.30957	3.87697e-26
0.01172102	6.81292	2.47594e-26
0.01172102	7.35642	1.57422e-26
0.01172102	7.94328	9.98329e-27
0.01172102	8.57696	6.31227e-27
0.01172102	9.26119	3.97546e-27
0.01172102	10.0	2.48857e-27
0.01373824	1.0	7.98113e-21
0.01373824	1.07978	4.59851e-21
0.01373824	1.16591	2.60016e-21
0.01373824	1.25893	1.44144e-21
0.01373824	1.35936	7.82799e-22
0.01373824	1.4678	4.16209e-22
0.01373824	1.58489	2.16696e-22
0.01373824	1.71133	1.10702e-22
0.01373824	1.84785	5.58263e-23
0.01373824	1.99526	2.81968e-23
0.01373824	2.15443	1.46756e-23
0.01373824	2.32631	8.16349e-24
0.01373824	2.51189	4.94598e-24
0.01373824	2.71227	3.2105e-24
0.01373824	2.92864	2.16136e-24
0.01373824	3.16228	1.4725e-24
0.01373824	3.41455	1.0028e-24
0.01373824	3.68695	6.78731e-25
0.01373824	3.98107	4.55259e-25
0.01373824	4.29866	3.02252e-25
0.01373824	4.64159	1.98512e-25
0.01373824	5.01187	1.29023e-25
0.01373824	5.4117	8.30895e-26
0.01373824	5.84341	5.31324e-26
0.01373824	6.30957	3.38131e-26
0.01373824	6.81292	2.14526e-26
0.01373824	7.35642	1.35732e-26
0.01373824	7.94328	8.55782e-27
0.01373824	8.57696	5.36523e-27
0.01373824	9.26119	3.34034e-27
0.01373824	10.0	2.06384e-27
0.01610262	1.0	8.13475e-21
0.01610262	1.07978	4.69577e-21
0.01610262	1.16591	2.66093e-21
0.01610262	1.25893	1.4788e-21
0.01610262	1.35936	8.05291e-22
0.01610262	1.4678	4.29472e-22
0.01610262	1.58489	2.24342e-22
0.01610262	1.71133	1.15e-22
0.01610262	1.84785	5.81794e-23
0.01610262	1.99526	2.94477e-23
0.01610262	2.15443	1.53111e-23
0.01610262	2.32631	8.46367e-24
0.01610262	2.51189	5.07122e-24
0.01610262	2.71227	3.24798e-24
0.01610262	2.92864	2.15595e-24
0.01610262	3.16228	1.44707e-24
0.01610262	3.41455	9.69589e-25
0.01610262	3.68695	6.44673e-25
0.01610262	3.98107	4.24349e-25
0.01610262	4.29866	2.7645e-25
0.01610262	4.64159	1.78387e-25
0.01610262	5.01187	1.1423e-25
0.01610262	5.4117	7.27572e-26
0.01610262	5.84341	4.6186e-26
0.01610262	6.30957	2.92443e-26
0.01610262	6.81292	1.84551e-26
0.01610262	7.35642	1.15868e-26
0.01610262	7.94328	7.22703e-27
0.01610262	8.57696	4.47339e-27
0.01610262	9.26119	2.74966e-27
0.01610262	10.0	1.68168e-27
0.01887392	1.0	8.30444e-21
0.01887392	1.07978	4.80353e-21
0.01887392	1.16591	2.72831e-21
0.01887392	1.25893	1.52018e-21
0.01887392	1.35936	8.30265e-22
0.01887392	1.4678	4.4419e-22
0.01887392	1.58489	2.32809e-22
0.01887392	1.71133	1.19745e-22
0.01887392	1.84785	6.07533e-23
0.01887392	1.99526	3.07837e-23
0.01887392	2.15443	1.59543e-23
0.01887392	2.32631	8.7281e-24
0.01887392	2.51189	5.14275e-24
0.01887392	2.71227	3.23057e-24
0.01887392	2.92864	2.10343e-24
0.01887392	3.16228	1.38494e-24
0.01887392	3.41455	9.1017e-25
0.01887392	3.68695	5.93608e-25
0.01887392	3.98107	3.83705e-25
0.01887392	4.29866	2.46081e-25
0.01887392	4.64159	1.5689e-25
0.01887392	5.01187	9.9651e-26
0.01887392	5.4117	6.31264e-26
0.01887392	5.84341	3.98731e-26
0.01887392	6.30957	2.50719e-26
0.01887392	6.81292	1.56645e-26
0.01887392	7.35642	9.71348e-27
0.01887392	7.94328	5.98059e-27
0.01887392	8.57696	3.6611e-27
0.01887392	9.26119	2.23557e-27
0.01887392	10.0	1.36743e-27
0.02212216	1.0	8.49235e-21
0.02212216	1.07978	4.92306e-21
0.02212216	1.16591	2.80315e-21
0.02212216	1.25893	1.56621e-21
0.02212216	1.35936	8.58019e-22
0.02212216	1.4678	4.60549e-22
0.02212216	1.58489	2.42202e-22
0.02212216	1.71133	1.24983e-22
0.02212216	1.84785	6.35609e-23
0.02212216	1.99526	3.21983e-23
0.02212216	2.15443	1.65873e-23
0.02212216	2.32631	8.93678e-24
0.02212216	2.51189	5.14348e-24
0.02212216	2.71227	3.14724e-24
0.02212216	2.92864	1.99883e-24
0.02212216	3.16228	1.28697e-24
0.02212216	3.41455	8.29143e-25
0.02212216	3.68695	5.31657e-25
0.02212216	3.98107	3.39134e-25
0.02212216	4.29866	2.15512e-25
0.02212216	4.64159	1.36588e-25
0.02212216	5.01187	8.63343e-26
0.02212216	5.4117	5.43491e-26
0.02212216	5.84341	3.4017e-26
0.02212216	6.30957	2.11368e-26
0.02212216	6.81292	1.30357e-26
0.02212216	7.35642	7.98869e-27
0.02212216	7.94328	4.87953e-27
0.02212216	8.57696	2.98158e-27
0.02212216	9.26119	1.83164e-27
0.02212216	10.0	1.13583e-27
0.02592944	1.0	8.70123e-21
0.02592944	1.07978	5.05601e-21
0.02592944	1.16591	2.88643e-21
0.02592944	1.25893	1.61745e-21
0.02592944	1.35936	8.88897e-22
0.02592944	1.4678	4.78739e-22
0.02592944	1.58489	2.52623e-22
0.02592944	1.71133	1.30764e-22
0.02592944	1.84785	6.66177e-23
0.02592944	1.99526	3.3692e-23
0.02592944	2.15443	1.72004e-23
0.02592944	2.32631	9.08248e-24
0.02592944	2.51189	5.0704e-24
0.02592944	2.71227	3.00047e-24
0.02592944	2.92864	1.85067e-24
0.02592944	3.16228	1.16452e-24
0.02592944	3.41455	7.37837e-25
0.02592944	3.68695	4.67845e-25
0.02592944	3.98107	2.96352e-25
0.02592944	4.29866	1.87388e-25
0.02592944	4.64159	1.18092e-25
0.02592944	5.01187	7.40276e-26
0.02592944	5.4117	4.60838e-26
0.02592944	5.84341	2.84751e-26
0.02592944	6.30957	1.74772e-26
0.02592944	6.81292	1.06793e-26
0.02592944	7.35642	6.52034e-27
0.02592944	7.94328	3.99773e-27
0.02592944	8.57696	2.47145e-27
0.02592944	9.26119	1.54534e-27
0.02592944	10.0	9.76607e-28
0.03039195	1.0	8.93333e-21
0.03039195	1.07978	5.20391e-21
0.03039195	1.16591	2.97914e-21
0.03039195	1.25893	1.67455e-21
0.03039195	1.35936	9.23314e-22
0.03039195	1.4678	4.98976e-22
0.03039195	1.58489	2.64197e-22
0.03039195	1.71133	1.37151e-22
0.03039195	1.84785	6.99529e-23
0.03039195	1.99526	3.52769e-23
0.03039195	2.15443	1.78126e-23
0.03039195	2.32631	9.18546e-24
0.03039195	2.51189	4.94731e-24
0.03039195	2.71227	2.81589e-24
0.03039195	2.92864	1.68237e-24
0.03039195	3.16228	1.0366e-24
0.03039195	3.41455	6.48915e-25
0.03039195	3.68695	4.0863e-25
0.03039195	3.98107	2.57348e-25
0.03039195	4.29866	1.61498e-25
0.03039195	4.64159	1.0072e-25
0.03039195	5.01187	6.23509e-26
0.03039195	5.4117	3.83281e-26
0.03039195	5.84341	2.34385e-26
0.03039195	6.30957	1.43071e-26
0.03039195	6.81292	8.75546e-27
0.03039195	7.35642	5.39669e-27
0.03039195	7.94328	3.36314e-27
0.03039195	8.57696	2.1192e-27
0.03039195	9.26119	1.34689e-27
0.03039195	10.0	8.5936e-28
0.03562248	1.0	9.19176e-21
0.03562248	1.07978	5.3688e-21
0.03562248	1.16591	3.08267e-21
0.03562248	1.25893	1.73831e-21
0.03562248	1.35936	9.61738e-22
0.03562248	1.4678	5.21561e-22
0.03562248	1.58489	2.77085e-22
0.03562248	1.71133	1.44222e-22
0.03562248	1.84785	7.3625e-23
0.03562248	1.99526	3.70062e-23
0.03562248	2.15443	1.84751e-23
0.03562248	2.32631	9.30188e-24
0.03562248	2.51189	4.82806e-24
0.03562248	2.71227	2.63651e-24
0.03562248	2.92864	1.52311e-24
0.03562248	3.16228	9.1893e-25
0.03562248	3.41455	5.68154e-25
0.03562248	3.68695	3.54455e-25
0.03562248	3.98107	2.20875e-25
0.03562248	4.29866	1.36913e-25
0.03562248	4.64159	8.42915e-26
0.03562248	5.01187	5.15971e-26
0.03562248	5.4117	3.14925e-26
0.03562248	5.84341	1.92443e-26
0.03562248	6.30957	1.1831e-26
0.03562248	6.81292	7.34591e-27
0.03562248	7.35642	4.61292e-27
0.03562248	7.94328	2.92594e-27
0.03562248	8.57696	1.86552e-27
0.03562248	9.26119	1.19005e-27
0.03562248	10.0	7.56805e-28
0.04175319	1.0	9.47999e-21
0.04175319	1.07978	5.55309e-21
0.04175319	1.16591	3.19846e-21
0.04175319	1.25893	1.8096e-21
0.04175319	1.35936	1.00469e-21
0.04175319	1.4678	5.46841e-22
0.04175319	1.58489	2.91503e-22
0.04175319	1.71133	1.52134e-22
0.04175319	1.84785	7.77442e-23
0.04175319	1.99526	3.89771e-23
0.04175319	2.15443	1.92765e-23
0.04175319	2.32631	9.51195e-24
0.04175319	2.51189	4.77614e-24
0.04175319	2.71227	2.50236e-24
0.04175319	2.92864	1.39109e-24
0.04175319	3.16228	8.15702e-25
0.04175319	3.41455	4.94293e-25
0.04175319	3.68695	3.03296e-25
0.04175319	3.98107	1.86253e-25
0.04175319	4.29866	1.14005e-25
0.04175319	4.64159	6.95727e-26
0.04175319	5.01187	4.2463e-26
0.04175319	5.4117	2.60358e-26
0.04175319	5.84341	1.61089e-26
0.04175319	6.30957	1.00814e-26
0.04175319	6.81292	6.37578e-27
0.04175319	7.35642	4.0596e-27
0.04175319	7.94328	2.59069e-27
0.04175319	8.57696	1.6494e-27
0.04175319	9.26119	1.04564e-27
0.04175319	10.0	6.60067e-28
0.04893901	1.0	9.80275e-21
0.04893901	1.07978	5.7594e-21
0.04893901	1.16591	3.32807e-21
0.04893901	1.25893	1.88955e-21
0.04893901	1.35936	1.05291e-21
0.04893901	1.4678	5.75215e-22
0.04893901	1.58489	3.0773e-22
0.04893901	1.71133	1.61084e-22
0.04893901	1.84785	8.2465e-23
0.04893901	1.99526	4.13107e-23
0.04893901	2.15443	2.03162e-23
0.04893901	2.32631	9.88384e-24
0.04893901	2.51189	4.83147e-24
0.04893901	2.71227	2.4308e-24
0.04893901	2.92864	1.28927e-24
0.04893901	3.16228	7.24736e-25
0.04893901	3.41455	4.25597e-25
0.04893901	3.68695	2.55588e-25
0.04893901	3.98107	1.54832e-25
0.04893901	4.29866	9.41753e-26
0.04893901	4.64159	5.75682e-26
0.04893901	5.01187	3.54855e-26
0.04893901	5.4117	2.21175e-26
0.04893901	5.84341	1.3942e-26
0.04893901	6.30957	8.86266e-27
0.04893901	6.81292	5.65363e-27
0.04893901	7.35642	3.60253e-27
0.04893901	7.94328	2.28717e-27
0.04893901	8.57696	1.44544e-27
0.04893901	9.26119	9.1066e-28
0.04893901	10.0	5.73109e-28
