#r0[m]	z0[m]	uref[m/s]	f[Hz]	noise[Hz^-1/2]
5.0	0.01	1.0	1.0	9.29609e-25
5.0	0.01	1.0	1.04713	7.0431e-25
5.0	0.01	1.0	1.09648	5.32516e-25
5.0	0.01	1.0	1.14815	4.01676e-25
5.0	0.01	1.0	1.20226	3.02162e-25
5.0	0.01	1.0	1.25893	2.26681e-25
5.0	0.01	1.0	1.31826	1.69604e-25
5.0	0.01	1.0	1.38038	1.26594e-25
5.0	0.01	1.0	1.44544	9.43084e-26
5.0	0.01	1.0	1.51356	7.01694e-26
5.0	0.01	1.0	1.58489	5.21872e-26
5.0	0.01	1.0	1.65959	3.88342e-26
5.0	0.01	1.0	1.7378	2.89436e-26
5.0	0.01	1.0	1.8197	2.16279e-26
5.0	0.01	1.0	1.90546	1.62166e-26
5.0	0.01	1.0	1.99526	1.22065e-26
5.0	0.01	1.0	2.0893	9.22479e-27
5.0	0.01	1.0	2.18776	6.99655e-27
5.0	0.01	1.0	2.29087	5.32154e-27
5.0	0.01	1.0	2.39883	4.05466e-27
5.0	0.01	1.0	2.51189	3.09132e-27
5.0	0.01	1.0	2.63027	2.35548e-27
5.0	0.01	1.0	2.75423	1.79197e-27
5.0	0.01	1.0	2.88403	1.36018e-27
5.0	0.01	1.0	3.01995	1.02956e-27
5.0	0.01	1.0	3.16228	7.76901e-28
5.0	0.01	1.0	3.31131	5.84406e-28
5.0	0.01	1.0	3.46737	4.38236e-28
5.0	0.01	1.0	3.63078	3.27593e-28
5.0	0.01	1.0	3.80189	2.44121e-28
5.0	0.01	1.0	3.98107	1.81284e-28
5.0	0.01	1.0	4.16869	1.34091e-28
5.0	0.01	1.0	4.36516	9.87186e-29
5.0	0.01	5.0	1.0	7.75883e-23
5.0	0.01	5.0	1.04713	5.90831e-23
5.0	0.01	5.0	1.09648	4.6065e-23
5.0	0.01	5.0	1.14815	3.64908e-23
5.0	0.01	5.0	1.20226	2.91922e-23
5.0	0.01	5.0	1.25893	2.34801e-23
5.0	0.01	5.0	1.31826	1.89368e-23
5.0	0.01	5.0	1.38038	1.52893e-23
5.0	0.01	5.0	1.44544	1.23462e-23
5.0	0.01	5.0	1.51356	9.96504e-24
5.0	0.01	5.0	1.58489	8.03728e-24
5.0	0.01	5.0	1.65959	6.47523e-24
5.0	0.01	5.0	1.7378	5.20987e-24
5.0	0.01	5.0	1.8197	4.1851e-24
5.0	0.01	5.0	1.90546	3.35578e-24
5.0	0.01	5.0	1.99526	2.68503e-24
5.0	0.01	5.0	2.0893	2.14349e-24
5.0	0.01	5.0	2.18776	1.70658e-24
5.0	0.01	5.0	2.29087	1.35472e-24
5.0	0.01	5.0	2.39883	1.07201e-24
5.0	0.01	5.0	2.51189	8.45383e-25
5.0	0.01	5.0	2.63027	6.64221e-25
5.0	0.01	5.0	2.75423	5.19897e-25
5.0	0.01	5.0	2.88403	4.05326e-25
5.0	0.01	5.0	3.01995	3.14797e-25
5.0	0.01	5.0	3.16228	2.43539e-25
5.0	0.01	5.0	3.31131	1.87736e-25
5.0	0.01	5.0	3.46737	1.44253e-25
5.0	0.01	5.0	3.63078	1.10526e-25
5.0	0.01	5.0	3.80189	8.44895e-26
5.0	0.01	5.0	3.98107	6.44718e-26
5.0	0.01	5.0	4.16869	4.91269e-26
5.0	0.01	5.0	4.36516	3.74e-26
5.0	0.01	5.0	4.57088	2.84451e-26
5.0	0.01	5.0	4.7863	2.16124e-26
5.0	0.01	5.0	5.01187	1.63993e-26
5.0	0.01	5.0	5.24807	1.24249e-26
5.0	0.01	5.0	5.49541	9.39278e-27
5.0	0.01	5.0	5.7544	7.08413e-27
5.0	0.01	5.0	6.0256	5.3285e-27
5.0	0.01	5.0	6.30957	3.99633e-27
5.0	0.01	5.0	6.60693	2.9895e-27
5.0	0.01	5.0	6.91831	2.23155e-27
5.0	0.01	5.0	7.24436	1.6622e-27
5.0	0.01	5.0	7.58578	1.2367e-27
5.0	0.01	5.0	7.94328	9.19632e-28
5.0	0.01	5.0	8.31764	6.84547e-28
5.0	0.01	5.0	8.70964	5.10013e-28
5.0	0.01	5.0	9.12011	3.81247e-28
5.0	0.01	5.0	9.54993	2.85981e-28
5.0	0.01	5.0	10.0	2.15303e-28
5.0	0.01	10.0	1.0	7.71611e-21
5.0	0.01	10.0	1.04713	5.54435e-21
5.0	0.01	10.0	1.09648	3.95656e-21
5.0	0.01	10.0	1.14815	2.80387e-21
5.0	0.01	10.0	1.20226	1.97247e-21
5.0	0.01	10.0	1.25893	1.37733e-21
5.0	0.01	10.0	1.31826	9.54422e-22
5.0	0.01	10.0	1.38038	6.56266e-22
5.0	0.01	10.0	1.44544	4.47735e-22
5.0	0.01	10.0	1.51356	3.03056e-22
5.0	0.01	10.0	1.58489	2.03581e-22
