uref[m/s]	psi[rad]	Noise[Hz^-1/2]
5	0.0	4.40803e-25
5	0.0628319	4.40798e-25
5	0.125664	4.40759e-25
5	0.188496	4.40704e-25
5	0.251327	4.40614e-25
5	0.314159	4.4051e-25
5	0.376991	4.40389e-25
5	0.439823	4.40245e-25
5	0.502655	4.40091e-25
5	0.565487	4.39904e-25
5	0.628319	4.39737e-25
5	0.69115	4.39546e-25
5	0.753982	4.39354e-25
5	0.816814	4.39165e-25
5	0.879646	4.38959e-25
5	0.942478	4.38751e-25
5	1.00531	4.38602e-25
5	1.06814	4.3843e-25
5	1.13097	4.38267e-25
5	1.19381	4.38125e-25
5	1.25664	4.38003e-25
5	1.31947	4.37888e-25
5	1.3823	4.37807e-25
5	1.44513	4.37739e-25
5	1.50796	4.37714e-25
5	1.5708	4.37698e-25
5	1.63363	4.37712e-25
5	1.69646	4.37738e-25
5	1.75929	4.37799e-25
5	1.82212	4.37884e-25
5	1.88496	4.38e-25
5	1.94779	4.38116e-25
5	2.01062	4.3826e-25
5	2.07345	4.38421e-25
5	2.13628	4.38587e-25
5	2.19911	4.38758e-25
5	2.26195	4.38968e-25
5	2.32478	4.39155e-25
5	2.38761	4.39352e-25
5	2.45044	4.39552e-25
5	2.51327	4.39738e-25
5	2.57611	4.39918e-25
5	2.63894	4.40086e-25
5	2.70177	4.40246e-25
5	2.7646	4.40388e-25
5	2.82743	4.40513e-25
5	2.89027	4.40623e-25
5	2.9531	4.40703e-25
5	3.01593	4.40756e-25
5	3.07876	4.40791e-25
5	3.14159	4.40805e-25
10	0.0	5.7852e-23
10	0.0628319	5.77448e-23
10	0.125664	5.74295e-23
10	0.188496	5.69015e-23
10	0.251327	5.61746e-23
10	0.314159	5.52409e-23
10	0.376991	5.41114e-23
10	0.439823	5.27934e-23
10	0.502655	5.12845e-23
10	0.565487	4.96001e-23
10	0.628319	4.77519e-23
10	0.69115	4.57409e-23
10	0.753982	4.35878e-23
10	0.816814	4.13051e-23
10	0.879646	3.89046e-23
10	0.942478	3.64139e-23
10	1.00531	3.38474e-23
10	1.06814	3.12381e-23
10	1.13097	2.86168e-23
10	1.19381	2.60316e-23
10	1.25664	2.35387e-23
10	1.31947	2.12183e-23
10	1.3823	1.91746e-23
10	1.44513	1.7544e-23
10	1.50796	1.64766e-23
10	1.5708	1.60996e-23
10	1.63363	1.64752e-23
10	1.69646	1.75422e-23
10	1.75929	1.91762e-23
10	1.82212	2.12195e-23
10	1.88496	2.35374e-23
10	1.94779	2.60317e-23
10	2.01062	2.86153e-23
10	2.07345	3.12372e-23
10	2.13628	3.38459e-23
10	2.19911	3.64128e-23
10	2.26195	3.89044e-23
10	2.32478	4.1303e-23
10	2.38761	4.35893e-23
10	2.45044	4.57424e-23
10	2.51327	4.77496e-23
10	2.57611	4.96005e-23
10	2.63894	5.1285e-23
10	2.70177	5.27917e-23
10	2.7646	5.41144e-23
10	2.82743	5.52434e-23
10	2.89027	5.61765e-23
10	2.9531	5.69071e-23
10	3.01593	5.74294e-23
10	3.07876	5.77467e-23
10	3.14159	5.78496e-23
20	0.0	3.34579e-21
20	0.0628319	3.33993e-21
20	0.125664	3.32213e-21
20	0.188496	3.29315e-21
20	0.251327	3.25259e-21
20	0.314159	3.20086e-21
20	0.376991	3.13795e-21
20	0.439823	3.0648e-21
20	0.502655	2.9812e-21
20	0.565487	2.88807e-21
20	0.628319	2.78595e-21
20	0.69115	2.67528e-21
20	0.753982	2.55713e-21
20	0.816814	2.43176e-21
20	0.879646	2.30119e-21
20	0.942478	2.16604e-21
20	1.00531	2.02766e-21
20	1.06814	1.88814e-21
20	1.13097	1.74929e-21
20	1.19381	1.61421e-21
20	1.25664	1.48583e-21
20	1.31947	1.36879e-21
20	1.3823	1.26797e-21
20	1.44513	1.18963e-21
20	1.50796	1.13949e-21
20	1.5708	1.12212e-21
20	1.63363	1.13952e-21
20	1.69646	1.18967e-21
20	1.75929	1.26814e-21
20	1.82212	1.3688e-21
20	1.88496	1.48587e-21
20	1.94779	1.61422e-21
20	2.01062	1.74923e-21
20	2.07345	1.88816e-21
20	2.13628	2.02767e-21
20	2.19911	2.16603e-21
20	2.26195	2.30138e-21
20	2.32478	2.43201e-21
20	2.38761	2.55687e-21
20	2.45044	2.6751e-21
20	2.51327	2.78576e-21
20	2.57611	2.88816e-21
20	2.63894	2.9812e-21
20	2.70177	3.06472e-21
20	2.7646	3.13814e-21
20	2.82743	3.20076e-21
20	2.89027	3.25244e-21
20	2.9531	3.29307e-21
20	3.01593	3.3222e-21
20	3.07876	3.3398e-21
20	3.14159	3.34562e-21
30	0.0	1.49848e-20
30	0.0628319	1.49591e-20
30	0.125664	1.48841e-20
30	0.188496	1.47562e-20
30	0.251327	1.45795e-20
30	0.314159	1.43552e-20
30	0.376991	1.40837e-20
30	0.439823	1.37656e-20
30	0.502655	1.34042e-20
30	0.565487	1.30004e-20
30	0.628319	1.25587e-20
30	0.69115	1.20805e-20
30	0.753982	1.1572e-20
30	0.816814	1.10344e-20
30	0.879646	1.04747e-20
30	0.942478	9.89706e-21
30	1.00531	9.30868e-21
30	1.06814	8.71849e-21
30	1.13097	8.13597e-21
30	1.19381	7.57189e-21
30	1.25664	7.04189e-21
30	1.31947	6.56415e-21
30	1.3823	6.15709e-21
30	1.44513	5.84442e-21
30	1.50796	5.6465e-21
30	1.5708	5.57844e-21
30	1.63363	5.64679e-21
30	1.69646	5.84468e-21
30	1.75929	6.15744e-21
30	1.82212	6.56416e-21
30	1.88496	7.04188e-21
30	1.94779	7.57171e-21
30	2.01062	8.13575e-21
30	2.07345	8.71802e-21
30	2.13628	9.30896e-21
30	2.19911	9.89673e-21
30	2.26195	1.04751e-20
30	2.32478	1.10345e-20
30	2.38761	1.15715e-20
30	2.45044	1.20812e-20
30	2.51327	1.25595e-20
30	2.57611	1.30006e-20
30	2.63894	1.34034e-20
30	2.70177	1.37652e-20
30	2.7646	1.40831e-20
30	2.82743	1.43563e-20
30	2.89027	1.45803e-20
30	2.9531	1.47569e-20
30	3.01593	1.48832e-20
30	3.07876	1.49596e-20
30	3.14159	1.49851e-20
