z0[m]	uref[m/s]	r0[m]	Noise[Hz^-1/2]
0.01	1	1.0	5.95345e-26
0.01	1	1.08138	5.50894e-26
0.01	1	1.16939	5.09761e-26
0.01	1	1.26456	4.71716e-26
0.01	1	1.36747	4.365e-26
0.01	1	1.47876	4.03906e-26
0.01	1	1.5991	3.73741e-26
0.01	1	1.72924	3.45831e-26
0.01	1	1.86997	3.19984e-26
0.01	1	2.02216	2.9607e-26
0.01	1	2.18672	2.73935e-26
0.01	1	2.36469	2.53448e-26
0.01	1	2.55713	2.3448e-26
0.01	1	2.76524	2.16944e-26
0.01	1	2.99028	2.00706e-26
0.01	1	3.23364	1.85675e-26
0.01	1	3.4968	1.7177e-26
0.01	1	3.78138	1.58898e-26
0.01	1	4.08911	1.4699e-26
0.01	1	4.4219	1.35969e-26
0.01	1	4.78176	1.25772e-26
0.01	1	5.17092	1.1634e-26
0.01	1	5.59174	1.07615e-26
0.01	1	6.04681	9.95376e-27
0.01	1	6.53891	9.20667e-27
0.01	1	7.07107	8.51557e-27
0.01	1	7.64653	7.87666e-27
0.01	1	8.26883	7.28515e-27
0.01	1	8.94176	6.73752e-27
0.01	1	9.66947	6.23201e-27
0.01	1	10.4564	5.7638e-27
0.01	1	11.3074	5.33079e-27
0.01	1	12.2276	4.93028e-27
0.01	1	13.2227	4.55955e-27
0.01	1	14.2988	4.21697e-27
0.01	1	15.4625	3.90007e-27
0.01	1	16.7209	3.60684e-27
0.01	1	18.0816	3.33577e-27
0.01	1	19.5532	3.08497e-27
0.01	1	21.1445	2.85264e-27
0.01	1	22.8653	2.63849e-27
0.01	1	24.7261	2.43999e-27
0.01	1	26.7384	2.25631e-27
0.01	1	28.9144	2.08679e-27
0.01	1	31.2675	1.92985e-27
0.01	1	33.8122	1.7846e-27
0.01	1	36.5639	1.65045e-27
0.01	1	39.5396	1.52626e-27
0.01	1	42.7574	1.41145e-27
0.01	1	46.2371	1.30532e-27
0.01	1	50.0	1.20712e-27
0.01	5	1.0	2.52076e-22
0.01	5	1.08138	1.94411e-22
0.01	5	1.16939	1.47245e-22
0.01	5	1.26456	1.09391e-22
0.01	5	1.36747	7.96436e-23
0.01	5	1.47876	5.68033e-23
0.01	5	1.5991	3.97028e-23
0.01	5	1.72924	2.72739e-23
0.01	5	1.86997	1.85622e-23
0.01	5	2.02216	1.27292e-23
0.01	5	2.18672	9.05796e-24
0.01	5	2.36469	6.90273e-24
0.01	5	2.55713	5.69107e-24
0.01	5	2.76524	4.98145e-24
0.01	5	2.99028	4.50446e-24
0.01	5	3.23364	4.13049e-24
0.01	5	3.4968	3.80784e-24
0.01	5	3.78138	3.51647e-24
0.01	5	4.08911	3.24925e-24
0.01	5	4.4219	3.00313e-24
0.01	5	4.78176	2.77603e-24
0.01	5	5.17092	2.5663e-24
0.01	5	5.59174	2.37256e-24
0.01	5	6.04681	2.19359e-24
0.01	5	6.53891	2.02831e-24
0.01	5	7.07107	1.87547e-24
0.01	5	7.64653	1.73425e-24
0.01	5	8.26883	1.60372e-24
0.01	5	8.94176	1.48299e-24
0.01	5	9.66947	1.37143e-24
0.01	5	10.4564	1.26824e-24
0.01	5	11.3074	1.17284e-24
0.01	5	12.2276	1.08463e-24
0.01	5	13.2227	1.00305e-24
0.01	5	14.2988	9.27607e-25
0.01	5	15.4625	8.57832e-25
0.01	5	16.7209	7.93305e-25
0.01	5	18.0816	7.33674e-25
0.01	5	19.5532	6.78478e-25
0.01	5	21.1445	6.27468e-25
0.01	5	22.8653	5.80277e-25
0.01	5	24.7261	5.36637e-25
0.01	5	26.7384	4.96274e-25
0.01	5	28.9144	4.58944e-25
0.01	5	31.2675	4.24423e-25
0.01	5	33.8122	3.92507e-25
0.01	5	36.5639	3.62972e-25
0.01	5	39.5396	3.35666e-25
0.01	5	42.7574	3.10317e-25
0.01	5	46.2371	2.87002e-25
0.01	5	50.0	2.65479e-25
0.01	10	1.0	4.50472e-21
0.01	10	1.08138	3.98642e-21
0.01	10	1.16939	3.49728e-21
0.01	10	1.26456	3.04026e-21
0.01	10	1.36747	2.61717e-21
0.01	10	1.47876	2.22938e-21
0.01	10	1.5991	1.87806e-21
0.01	10	1.72924	1.56311e-21
0.01	10	1.86997	1.28453e-21
0.01	10	2.02216	1.04119e-21
0.01	10	2.18672	8.31686e-22
0.01	10	2.36469	6.54016e-22
0.01	10	2.55713	5.05714e-22
0.01	10	2.76524	3.84094e-22
0.01	10	2.99028	2.8618e-22
0.01	10	3.23364	2.08942e-22
0.01	10	3.4968	1.49325e-22
0.01	10	3.78138	1.04402e-22
0.01	10	4.08911	7.14479e-23
0.01	10	4.4219	4.80192e-23
0.01	10	4.78176	3.19752e-23
0.01	10	5.17092	2.15297e-23
0.01	10	5.59174	1.51727e-23
0.01	10	6.04681	1.15875e-23
0.01	10	6.53891	9.63918e-24
0.01	10	7.07107	8.5041e-24
0.01	10	7.64653	7.72388e-24
0.01	10	8.26883	7.09637e-24
0.01	10	8.94176	6.54561e-24
0.01	10	9.66947	6.04541e-24
0.01	10	10.4564	5.58587e-24
0.01	10	11.3074	5.16227e-24
0.01	10	12.2276	4.77125e-24
0.01	10	13.2227	4.41059e-24
0.01	10	14.2988	4.0773e-24
0.01	10	15.4625	3.7695e-24
0.01	10	16.7209	3.4851e-24
0.01	10	18.0816	3.22232e-24
0.01	10	19.5532	2.97942e-24
0.01	10	21.1445	2.75498e-24
0.01	10	22.8653	2.54748e-24
0.01	10	24.7261	2.35566e-24
0.01	10	26.7384	2.17834e-24
0.01	10	28.9144	2.0143e-24
0.01	10	31.2675	1.86272e-24
0.01	10	33.8122	1.72258e-24
0.01	10	36.5639	1.59291e-24
0.01	10	39.5396	1.47305e-24
0.01	10	42.7574	1.36205e-24
0.01	10	46.2371	1.25964e-24
0.01	10	50.0	1.16496e-24
0.10	1	1.0	6.7769e-27
0.10	1	1.08138	6.3034e-27
0.10	1	1.16939	5.86262e-27
0.10	1	1.26456	5.4522e-27
0.10	1	1.36747	5.06961e-27
0.10	1	1.47876	4.71327e-27
0.10	1	1.5991	4.38122e-27
0.10	1	1.72924	4.07189e-27
0.10	1	1.86997	3.78359e-27
0.10	1	2.02216	3.51502e-27
0.10	1	2.18672	3.26483e-27
0.10	1	2.36469	3.03178e-27
0.10	1	2.55713	2.8148e-27
0.10	1	2.76524	2.61287e-27
0.10	1	2.99028	2.42494e-27
0.10	1	3.23364	2.25008e-27
0.10	1	3.4968	2.08738e-27
0.10	1	3.78138	1.93606e-27
0.10	1	4.08911	1.79543e-27
0.10	1	4.4219	1.66473e-27
0.10	1	4.78176	1.54335e-27
0.10	1	5.17092	1.43054e-27
0.10	1	5.59174	1.32581e-27
0.10	1	6.04681	1.22854e-27
0.10	1	6.53891	1.13827e-27
0.10	1	7.07107	1.05447e-27
0.10	1	7.64653	9.76777e-28
0.10	1	8.26883	9.04636e-28
0.10	1	8.94176	8.37808e-28
0.10	1	9.66947	7.75812e-28
0.10	1	10.4564	7.18338e-28
