r0[m]	z0[m]	Noise[Hz^-1/2]
10.0	0.01	5	1.32613e-24
10.0	0.01	5.83333	1.88595e-24
10.0	0.01	6.66667	2.5209e-24
10.0	0.01	7.5	3.2319e-24
10.0	0.01	8.33333	4.02164e-24
10.0	0.01	9.16667	4.89146e-24
10.0	0.01	10	5.84321e-24
10.0	0.01	10.8333	6.88101e-24
10.0	0.01	11.6667	8.01692e-24
10.0	0.01	12.5	9.29608e-24
10.0	0.01	13.3333	1.08667e-23
10.0	0.01	14.1667	1.30926e-23
10.0	0.01	15	1.66825e-23
10.0	0.01	15.8333	2.26587e-23
10.0	0.01	16.6667	3.21737e-23
10.0	0.01	17.5	4.63527e-23
10.0	0.01	18.3333	6.63769e-23
10.0	0.01	19.1667	9.34605e-23
10.0	0.01	20	1.28822e-22
10.0	0.01	20.8333	1.73861e-22
10.0	0.01	21.6667	2.29948e-22
10.0	0.01	22.5	2.98461e-22
10.0	0.01	23.3333	3.80782e-22
10.0	0.01	24.1667	4.78382e-22
10.0	0.01	25	5.92465e-22
10.0	0.01	25.8333	7.24476e-22
10.0	0.01	26.6667	8.75659e-22
10.0	0.01	27.5	1.04714e-21
10.0	0.01	28.3333	1.24032e-21
10.0	0.01	29.1667	1.45588e-21
10.0	0.01	30	1.69521e-21
100.0	0.01	5	1.32768e-25
100.0	0.01	5.83333	1.88768e-25
100.0	0.01	6.66667	2.52232e-25
100.0	0.01	7.5	3.2315e-25
100.0	0.01	8.33333	4.0152e-25
100.0	0.01	9.16667	4.88117e-25
100.0	0.01	10	5.82595e-25
100.0	0.01	10.8333	6.8482e-25
100.0	0.01	11.6667	7.95108e-25
100.0	0.01	12.5	9.13397e-25
100.0	0.01	13.3333	1.03962e-24
100.0	0.01	14.1667	1.17235e-24
100.0	0.01	15	1.31667e-24
100.0	0.01	15.8333	1.46448e-24
100.0	0.01	16.6667	1.62631e-24
100.0	0.01	17.5	1.7932e-24
100.0	0.01	18.3333	1.96556e-24
100.0	0.01	19.1667	2.1513e-24
100.0	0.01	20	2.34023e-24
100.0	0.01	20.8333	2.53977e-24
100.0	0.01	21.6667	2.74818e-24
100.0	0.01	22.5	2.9617e-24
100.0	0.01	23.3333	3.18767e-24
100.0	0.01	24.1667	3.42103e-24
100.0	0.01	25	3.65682e-24
100.0	0.01	25.8333	3.90961e-24
100.0	0.01	26.6667	4.16378e-24
100.0	0.01	27.5	4.42851e-24
100.0	0.01	28.3333	4.70352e-24
100.0	0.01	29.1667	4.98443e-24
100.0	0.01	30	5.27226e-24
20.0	0.01	5	6.6335e-25
20.0	0.01	5.83333	9.43159e-25
20.0	0.01	6.66667	1.26025e-24
20.0	0.01	7.5	1.61481e-24
20.0	0.01	8.33333	2.00827e-24
20.0	0.01	9.16667	2.44069e-24
20.0	0.01	10	2.91277e-24
20.0	0.01	10.8333	3.42494e-24
20.0	0.01	11.6667	3.9777e-24
20.0	0.01	12.5	4.57115e-24
20.0	0.01	13.3333	5.20577e-24
20.0	0.01	14.1667	5.88204e-24
20.0	0.01	15	6.59982e-24
20.0	0.01	15.8333	7.35959e-24
20.0	0.01	16.6667	8.1619e-24
20.0	0.01	17.5	9.00645e-24
20.0	0.01	18.3333	9.89554e-24
20.0	0.01	19.1667	1.08323e-23
20.0	0.01	20	1.18202e-23
20.0	0.01	20.8333	1.28751e-23
20.0	0.01	21.6667	1.40241e-23
20.0	0.01	22.5	1.53161e-23
20.0	0.01	23.3333	1.68368e-23
20.0	0.01	24.1667	1.87362e-23
20.0	0.01	25	2.12049e-23
20.0	0.01	25.8333	2.45254e-23
20.0	0.01	26.6667	2.8996e-23
20.0	0.01	27.5	3.49692e-23
20.0	0.01	28.3333	4.27991e-23
20.0	0.01	29.1667	5.27942e-23
20.0	0.01	30	6.53411e-23
30.0	0.01	5	4.4234e-25
30.0	0.01	5.83333	6.28926e-25
30.0	0.01	6.66667	8.40349e-25
30.0	0.01	7.5	1.07673e-24
30.0	0.01	8.33333	1.33889e-24
30.0	0.01	9.16667	1.62692e-24
30.0	0.01	10	1.94144e-24
30.0	0.01	10.8333	2.28232e-24
30.0	0.01	11.6667	2.65021e-24
30.0	0.01	12.5	3.04488e-24
30.0	0.01	13.3333	3.46622e-24
30.0	0.01	14.1667	3.91567e-24
30.0	0.01	15	4.39196e-24
30.0	0.01	15.8333	4.8953e-24
30.0	0.01	16.6667	5.42679e-24
30.0	0.01	17.5	5.98531e-24
30.0	0.01	18.3333	6.57133e-24
30.0	0.01	19.1667	7.18581e-24
30.0	0.01	20	7.82673e-24
30.0	0.01	20.8333	8.49713e-24
30.0	0.01	21.6667	9.19575e-24
30.0	0.01	22.5	9.92243e-24
30.0	0.01	23.3333	1.06756e-23
30.0	0.01	24.1667	1.14611e-23
30.0	0.01	25	1.22734e-23
30.0	0.01	25.8333	1.3118e-23
30.0	0.01	26.6667	1.39912e-23
30.0	0.01	27.5	1.49035e-23
30.0	0.01	28.3333	1.58584e-23
30.0	0.01	29.1667	1.68625e-23
30.0	0.01	30	1.79342e-23
40.0	0.01	5	3.31807e-25
40.0	0.01	5.83333	4.71774e-25
40.0	0.01	6.66667	6.30351e-25
40.0	0.01	7.5	8.07657e-25
40.0	0.01	8.33333	1.00426e-24
40.0	0.01	9.16667	1.21998e-24
40.0	0.01	10	1.45616e-24
40.0	0.01	10.8333	1.71147e-24
40.0	0.01	11.6667	1.98751e-24
40.0	0.01	12.5	2.28332e-24
40.0	0.01	13.3333	2.59876e-24
40.0	0.01	14.1667	2.93572e-24
40.0	0.01	15	3.29245e-24
40.0	0.01	15.8333	3.669e-24
40.0	0.01	16.6667	4.06716e-24
40.0	0.01	17.5	4.48507e-24
40.0	0.01	18.3333	4.92332e-24
40.0	0.01	19.1667	5.38266e-24
40.0	0.01	20	5.86089e-24
40.0	0.01	20.8333	6.36193e-24
40.0	0.01	21.6667	6.88364e-24
40.0	0.01	22.5	7.42558e-24
40.0	0.01	23.3333	7.98653e-24
40.0	0.01	24.1667	8.57194e-24
40.0	0.01	25	9.17531e-24
40.0	0.01	25.8333	9.80196e-24
40.0	0.01	26.6667	1.04464e-23
40.0	0.01	27.5	1.1115e-23
40.0	0.01	28.3333	1.18058e-23
40.0	0.01	29.1667	1.25162e-23
40.0	0.01	30	1.32483e-23
5.0	0.01	5	2.65436e-24
5.0	0.01	5.83333	3.77988e-24
5.0	0.01	6.66667	5.06713e-24
5.0	0.01	7.5	6.60098e-24
5.0	0.01	8.33333	8.9446e-24
5.0	0.01	9.16667	1.40729e-23
5.0	0.01	10	2.5434e-23
5.0	0.01	10.8333	4.6759e-23
5.0	0.01	11.6667	8.18667e-23
5.0	0.01	12.5	1.34831e-22
5.0	0.01	13.3333	2.0989e-22
5.0	0.01	14.1667	3.11259e-22
5.0	0.01	15	4.42949e-22
5.0	0.01	15.8333	6.08819e-22
5.0	0.01	16.6667	8.12244e-22
5.0	0.01	17.5	1.05639e-21
5.0	0.01	18.3333	1.34405e-21
5.0	0.01	19.1667	1.67739e-21
5.0	0.01	20	2.05868e-21
5.0	0.01	20.8333	2.48918e-21
5.0	0.01	21.6667	2.97084e-21
5.0	0.01	22.5	3.50455e-21
5.0	0.01	23.3333	4.09068e-21
5.0	0.01	24.1667	4.73021e-21
5.0	0.01	25	5.42346e-21
5.0	0.01	25.8333	6.16999e-21
5.0	0.01	26.6667	6.97062e-21
5.0	0.01	27.5	7.82455e-21
5.0	0.01	28.3333	8.73214e-21
5.0	0.01	29.1667	9.69206e-21
5.0	0.01	30	1.07044e-20
50.0	0.01	5	2.65471e-25
50.0	0.01	5.83333	3.77454e-25
50.0	0.01	6.66667	5.0433e-25
50.0	0.01	7.5	6.46183e-25
50.0	0.01	8.33333	8.03456e-25
50.0	0.01	9.16667	9.75843e-25
50.0	0.01	10	1.16499e-24
50.0	0.01	10.8333	1.36914e-24
50.0	0.01	11.6667	1.59005e-24
50.0	0.01	12.5	1.82663e-24
50.0	0.01	13.3333	2.07895e-24
50.0	0.01	14.1667	2.34826e-24
50.0	0.01	15	2.63359e-24
50.0	0.01	15.8333	2.9343e-24
50.0	0.01	16.6667	3.25295e-24
50.0	0.01	17.5	3.58697e-24
50.0	0.01	18.3333	3.93684e-24
50.0	0.01	19.1667	4.30414e-24
50.0	0.01	20	4.6855e-24
50.0	0.01	20.8333	5.08578e-24
50.0	0.01	21.6667	5.50256e-24
50.0	0.01	22.5	5.93515e-24
50.0	0.01	23.3333	6.38251e-24
50.0	0.01	24.1667	6.84981e-24
50.0	0.01	25	7.33048e-24
50.0	0.01	25.8333	7.83059e-24
50.0	0.01	26.6667	8.34376e-24
50.0	0.01	27.5	8.87646e-24
50.0	0.01	28.3333	9.42668e-24
50.0	0.01	29.1667	9.992e-24
50.0	0.01	30	1.05741e-23
10.0	0.1	5	2.22554e-25
10.0	0.1	5.83333	3.73863e-25
10.0	0.1	6.66667	5.9669e-25
10.0	0.1	7.5	9.26415e-25
10.0	0.1	8.33333	1.39719e-24
10.0	0.1	9.16667	2.03693e-24
10.0	0.1	10	2.88218e-24
10.0	0.1	10.8333	4.04058e-24
10.0	0.1	11.6667	5.85314e-24
10.0	0.1	12.5	9.05319e-24
10.0	0.1	13.3333	1.48053e-23
10.0	0.1	14.1667	2.44812e-23
10.0	0.1	15	3.96203e-23
10.0	0.1	15.8333	6.19156e-23
10.0	0.1	16.6667	9.32044e-23
10.0	0.1	17.5	1.3543e-22
10.0	0.1	18.3333	1.90624e-22
10.0	0.1	19.1667	2.60787e-22
10.0	0.1	20	3.4798e-22
10.0	0.1	20.8333	4.54215e-22
10.0	0.1	21.6667	5.81304e-22
10.0	0.1	22.5	7.31192e-22
10.0	0.1	23.3333	9.05542e-22
10.0	0.1	24.1667	1.10601e-21
10.0	0.1	25	1.33413e-21
10.0	0.1	25.8333	1.59122e-21
10.0	0.1	26.6667	1.87862e-21
10.0	0.1	27.5	2.19791e-21
10.0	0.1	28.3333	2.54958e-21
10.0	0.1	29.1667	2.93499e-21
10.0	0.1	30	3.35486e-21
100.0	0.1	5	2.2576e-26
