r0[m]	uref[m/s]	Noise[Hz^-1/2]
10.0	10.0	0.01	6.19974e-25
10.0	10.0	0.0116591	6.72001e-25
10.0	10.0	0.0135936	7.30434e-25
10.0	10.0	0.0158489	7.96208e-25
10.0	10.0	0.0184785	8.7061e-25
10.0	10.0	0.0215443	9.55041e-25
10.0	10.0	0.0251189	1.05085e-24
10.0	10.0	0.0292864	1.16001e-24
10.0	10.0	0.0341455	1.28495e-24
10.0	10.0	0.0398107	1.42745e-24
10.0	10.0	0.0464159	1.59192e-24
10.0	10.0	0.054117	1.78085e-24
10.0	10.0	0.0630957	1.99876e-24
10.0	10.0	0.0735642	2.25066e-24
10.0	10.0	0.0857696	2.5428e-24
10.0	10.0	0.1	2.88136e-24
10.0	10.0	0.116591	3.27818e-24
10.0	10.0	0.135936	3.74265e-24
10.0	10.0	0.158489	4.2882e-24
10.0	10.0	0.184785	4.93317e-24
10.0	10.0	0.215443	5.70211e-24
10.0	10.0	0.251189	6.62631e-24
10.0	10.0	0.292864	7.74682e-24
10.0	10.0	0.341455	9.12677e-24
10.0	10.0	0.398107	1.08517e-23
10.0	10.0	0.464159	1.30522e-23
10.0	10.0	0.54117	1.59208e-23
10.0	10.0	0.630957	1.97443e-23
10.0	10.0	0.735642	2.49791e-23
10.0	10.0	0.857696	3.23446e-23
10.0	10.0	1	4.3043e-23
10.0	100.0	0.01	6.03185e-26
10.0	100.0	0.0116591	6.55584e-26
10.0	100.0	0.0135936	7.13387e-26
10.0	100.0	0.0158489	7.78572e-26
10.0	100.0	0.0184785	8.17185e-26
10.0	100.0	0.0215443	9.24332e-26
10.0	100.0	0.0251189	1.02804e-25
10.0	100.0	0.0292864	1.13858e-25
10.0	100.0	0.0341455	7.89446e-26
10.0	100.0	0.0398107	1.40854e-25
10.0	100.0	0.0464159	7.50041e-26
10.0	100.0	0.054117	1.73458e-25
10.0	100.0	0.0630957	1.97918e-25
10.0	100.0	0.0735642	2.19643e-25
10.0	100.0	0.0857696	2.52876e-25
10.0	100.0	0.1	2.86587e-25
10.0	100.0	0.116591	3.19259e-25
10.0	100.0	0.135936	3.72273e-25
10.0	100.0	0.158489	4.26699e-25
10.0	100.0	0.184785	4.77254e-25
10.0	100.0	0.215443	5.6243e-25
10.0	100.0	0.251189	6.54483e-25
10.0	100.0	0.292864	7.52898e-25
10.0	100.0	0.341455	8.89442e-25
10.0	100.0	0.398107	1.02407e-24
10.0	100.0	0.464159	1.23724e-24
10.0	100.0	0.54117	1.47126e-24
10.0	100.0	0.630957	1.75912e-24
10.0	100.0	0.735642	2.15174e-24
10.0	100.0	0.857696	2.63105e-24
10.0	100.0	1	3.24346e-24
10.0	20.0	0.01	3.02535e-25
10.0	20.0	0.0116591	3.28165e-25
10.0	20.0	0.0135936	3.56993e-25
10.0	20.0	0.0158489	3.89475e-25
10.0	20.0	0.0184785	4.26325e-25
10.0	20.0	0.0215443	4.68139e-25
10.0	20.0	0.0251189	5.15712e-25
10.0	20.0	0.0292864	5.69978e-25
10.0	20.0	0.0341455	6.32124e-25
10.0	20.0	0.0398107	7.03141e-25
10.0	20.0	0.0464159	7.84427e-25
10.0	20.0	0.054117	8.79333e-25
10.0	20.0	0.0630957	9.87982e-25
10.0	20.0	0.0735642	1.11355e-24
10.0	20.0	0.0857696	1.25911e-24
10.0	20.0	0.1	1.42759e-24
10.0	20.0	0.116591	1.62421e-24
10.0	20.0	0.135936	1.85398e-24
10.0	20.0	0.158489	2.12242e-24
10.0	20.0	0.184785	2.43755e-24
10.0	20.0	0.215443	2.81019e-24
10.0	20.0	0.251189	3.25287e-24
10.0	20.0	0.292864	3.78087e-24
10.0	20.0	0.341455	4.4175e-24
10.0	20.0	0.398107	5.19344e-24
10.0	20.0	0.464159	6.14628e-24
10.0	20.0	0.54117	7.33026e-24
10.0	20.0	0.630957	8.81618e-24
10.0	20.0	0.735642	1.06969e-23
10.0	20.0	0.857696	1.3092e-23
10.0	20.0	1	1.61584e-23
10.0	30.0	0.01	2.01263e-25
10.0	30.0	0.0116591	2.1835e-25
10.0	30.0	0.0135936	2.37563e-25
10.0	30.0	0.0158489	2.59213e-25
10.0	30.0	0.0184785	2.83789e-25
10.0	30.0	0.0215443	3.11692e-25
10.0	30.0	0.0251189	3.4345e-25
10.0	30.0	0.0292864	3.79678e-25
