kmax[m^-1]	f[Hz]	Noise[Hz^-1/2]
3.14	1.0	1.18241e-20
3.14	1.04713	8.69008e-21
3.14	1.09648	6.35255e-21
3.14	1.14815	4.61771e-21
3.14	1.20226	3.33707e-21
3.14	1.25893	2.39704e-21
3.14	1.31826	1.71084e-21
3.14	1.38038	1.21298e-21
3.14	1.44544	8.54128e-22
3.14	1.51356	5.97083e-22
3.14	1.58489	4.1426e-22
3.14	1.65959	2.85154e-22
3.14	1.7378	1.94679e-22
3.14	1.8197	1.31765e-22
3.14	1.90546	8.83825e-23
3.14	1.99526	5.87262e-23
3.14	2.0893	3.86374e-23
3.14	2.18776	2.51599e-23
3.14	2.29087	1.62069e-23
3.14	2.39883	1.03225e-23
3.14	2.51189	6.49714e-24
3.14	2.63027	4.0388e-24
3.14	2.75423	2.47833e-24
3.14	2.88403	1.50013e-24
3.14	3.01995	8.95112e-25
3.14	3.16228	5.26155e-25
3.14	3.31131	3.04436e-25
3.14	3.46737	1.73252e-25
3.14	3.63078	9.68905e-26
3.14	3.80189	5.31989e-26
3.14	3.98107	2.86463e-26
3.14	4.16869	1.51109e-26
3.14	4.36516	7.79848e-27
3.14	4.57088	3.93155e-27
3.14	4.7863	1.93269e-27
3.14	5.01187	9.24296e-28
3.14	5.24807	4.2869e-28
3.14	5.49541	1.91909e-28
3.14	5.7544	8.22461e-29
6.28	1.0	1.1829e-20
6.28	1.04713	8.69395e-21
6.28	1.09648	6.35562e-21
6.28	1.14815	4.62018e-21
6.28	1.20226	3.33902e-21
6.28	1.25893	2.39846e-21
6.28	1.31826	1.71195e-21
6.28	1.38038	1.21385e-21
6.28	1.44544	8.54719e-22
6.28	1.51356	5.97551e-22
6.28	1.58489	4.14594e-22
6.28	1.65959	2.8541e-22
6.28	1.7378	1.94858e-22
6.28	1.8197	1.31902e-22
6.28	1.90546	8.84846e-23
6.28	1.99526	5.88031e-23
6.28	2.0893	3.86963e-23
6.28	2.18776	2.52034e-23
6.28	2.29087	1.62403e-23
6.28	2.39883	1.03479e-23
6.28	2.51189	6.51643e-24
6.28	2.63027	4.05349e-24
6.28	2.75423	2.48919e-24
6.28	2.88403	1.50816e-24
6.28	3.01995	9.00987e-25
6.28	3.16228	5.30381e-25
6.28	3.31131	3.07443e-25
6.28	3.46737	1.75367e-25
6.28	3.63078	9.83527e-26
6.28	3.80189	5.41959e-26
6.28	3.98107	2.93153e-26
6.28	4.16869	1.55534e-26
6.28	4.36516	8.08618e-27
6.28	4.57088	4.11583e-27
6.28	4.7863	2.0489e-27
6.28	5.01187	9.96501e-28
6.28	5.24807	4.7299e-28
6.28	5.49541	2.18837e-28
6.28	5.7544	9.85838e-29
62.80	1.0	1.18307e-20
62.80	1.04713	8.69546e-21
62.80	1.09648	6.35696e-21
62.80	1.14815	4.62148e-21
62.80	1.20226	3.34031e-21
62.80	1.25893	2.39959e-21
62.80	1.31826	1.71298e-21
62.80	1.38038	1.21479e-21
62.80	1.44544	8.55524e-22
62.80	1.51356	5.98261e-22
62.80	1.58489	4.1522e-22
62.80	1.65959	2.85947e-22
62.80	1.7378	1.95328e-22
62.80	1.8197	1.32304e-22
62.80	1.90546	8.88248e-23
62.80	1.99526	5.90904e-23
62.80	2.0893	3.89401e-23
62.80	2.18776	2.54129e-23
62.80	2.29087	1.64191e-23
62.80	2.39883	1.05024e-23
62.80	2.51189	6.65049e-24
62.80	2.63027	4.17177e-24
62.80	2.75423	2.59505e-24
62.80	2.88403	1.60446e-24
62.80	3.01995	9.89983e-25
62.80	3.16228	6.13438e-25
62.80	3.31131	3.85353e-25
62.80	3.46737	2.48083e-25
62.80	3.63078	1.65123e-25
62.80	3.80189	1.13903e-25
62.80	3.98107	8.10079e-26
62.80	4.16869	5.87974e-26
62.80	4.36516	4.31441e-26
62.80	4.57088	3.17567e-26
62.80	4.7863	2.33332e-26
62.80	5.01187	1.70601e-26
62.80	5.24807	1.23901e-26
62.80	5.49541	8.92791e-27
62.80	5.7544	6.37667e-27
62.80	6.0256	4.51046e-27
62.80	6.30957	3.15625e-27
62.80	6.60693	2.18228e-27
62.80	6.91831	1.48853e-27
62.80	7.24436	9.99803e-28
62.80	7.58578	6.59899e-28
62.80	7.94328	4.26994e-28
62.80	8.31764	2.70169e-28
62.80	8.70964	1.66681e-28
62.80	9.12011	1.00014e-28
62.80	9.54993	5.81728e-29
628.00	1.0	1.18302e-20
628.00	1.04713	8.69545e-21
628.00	1.09648	6.35692e-21
628.00	1.14815	4.62141e-21
628.00	1.20226	3.34028e-21
628.00	1.25893	2.39947e-21
628.00	1.31826	1.71298e-21
628.00	1.38038	1.21473e-21
628.00	1.44544	8.55568e-22
628.00	1.51356	5.98254e-22
628.00	1.58489	4.15222e-22
628.00	1.65959	2.85958e-22
628.00	1.7378	1.95335e-22
628.00	1.8197	1.32299e-22
628.00	1.90546	8.88213e-23
628.00	1.99526	5.90927e-23
628.00	2.0893	3.89423e-23
628.00	2.18776	2.54133e-23
628.00	2.29087	1.64212e-23
628.00	2.39883	1.0503e-23
628.00	2.51189	6.65137e-24
628.00	2.63027	4.17301e-24
628.00	2.75423	2.59639e-24
628.00	2.88403	1.60635e-24
628.00	3.01995	9.91995e-25
628.00	3.16228	6.16078e-25
628.00	3.31131	3.88501e-25
628.00	3.46737	2.51778e-25
628.00	3.63078	1.69174e-25
628.00	3.80189	1.18183e-25
628.00	3.98107	8.5312e-26
628.00	4.16869	6.3015e-26
628.00	4.36516	4.71884e-26
628.00	4.57088	3.55747e-26
628.00	4.7863	2.68938e-26
628.00	5.01187	2.03488e-26
628.00	5.24807	1.54013e-26
628.00	5.49541	1.16566e-26
628.00	5.7544	8.82506e-27
628.00	6.0256	6.68456e-27
628.00	6.30957	5.06561e-27
628.00	6.60693	3.8395e-27
628.00	6.91831	2.91272e-27
628.00	7.24436	2.20918e-27
628.00	7.58578	1.67547e-27
628.00	7.94328	1.27064e-27
628.00	8.31764	9.63774e-28
628.00	8.70964	7.30779e-28
628.00	9.12011	5.5411e-28
628.00	9.54993	4.20137e-28
628.00	10.0	3.18525e-28
6280.00	1.0	1.18307e-20
6280.00	1.04713	8.69531e-21
6280.00	1.09648	6.35708e-21
6280.00	1.14815	4.62157e-21
6280.00	1.20226	3.34026e-21
6280.00	1.25893	2.39958e-21
6280.00	1.31826	1.71289e-21
6280.00	1.38038	1.21474e-21
6280.00	1.44544	8.55509e-22
6280.00	1.51356	5.98251e-22
6280.00	1.58489	4.15227e-22
6280.00	1.65959	2.85956e-22
6280.00	1.7378	1.95327e-22
6280.00	1.8197	1.323e-22
6280.00	1.90546	8.88211e-23
6280.00	1.99526	5.90903e-23
6280.00	2.0893	3.89403e-23
6280.00	2.18776	2.54136e-23
6280.00	2.29087	1.64196e-23
6280.00	2.39883	1.05023e-23
6280.00	2.51189	6.65184e-24
6280.00	2.63027	4.17224e-24
6280.00	2.75423	2.59539e-24
6280.00	2.88403	1.60625e-24
6280.00	3.01995	9.9207e-25
6280.00	3.16228	6.16087e-25
6280.00	3.31131	3.8851e-25
6280.00	3.46737	2.51649e-25
6280.00	3.63078	1.69173e-25
6280.00	3.80189	1.18172e-25
6280.00	3.98107	8.53068e-26
6280.00	4.16869	6.29363e-26
6280.00	4.36516	4.71712e-26
6280.00	4.57088	3.5573e-26
6280.00	4.7863	2.6894e-26
6280.00	5.01187	2.03486e-26
6280.00	5.24807	1.53901e-26
6280.00	5.49541	1.16565e-26
6280.00	5.7544	8.82459e-27
6280.00	6.0256	6.68474e-27
6280.00	6.30957	5.06603e-27
6280.00	6.60693	3.83486e-27
6280.00	6.91831	2.91294e-27
6280.00	7.24436	2.2094e-27
6280.00	7.58578	1.67597e-27
6280.00	7.94328	1.27124e-27
6280.00	8.31764	9.64127e-28
6280.00	8.70964	7.31205e-28
6280.00	9.12011	5.5446e-28
6280.00	9.54993	4.20581e-28
6280.00	10.0	3.19001e-28
