x3min[m]	nu[Hz]	Noise[Hz^-1/2]
0.10	1.0	1.18389e-20
0.10	1.04713	8.70412e-21
0.10	1.09648	6.36479e-21
0.10	1.14815	4.62911e-21
0.10	1.20226	3.34724e-21
0.10	1.25893	2.40617e-21
0.10	1.31826	1.7192e-21
0.10	1.38038	1.2206e-21
0.10	1.44544	8.61046e-22
0.10	1.51356	6.03418e-22
0.10	1.58489	4.20072e-22
0.10	1.65959	2.90528e-22
0.10	1.7378	1.99628e-22
0.10	1.8197	1.36341e-22
0.10	1.90546	9.26283e-23
0.10	1.99526	6.26558e-23
0.10	2.0893	4.22788e-23
0.10	2.18776	2.85303e-23
0.10	2.29087	1.93085e-23
0.10	2.39883	1.31582e-23
0.10	2.51189	9.06365e-24
0.10	2.63027	6.33289e-24
0.10	2.75423	4.49399e-24
0.10	2.88403	3.24497e-24
0.10	3.01995	2.37645e-24
0.10	3.16228	1.76129e-24
0.10	3.31131	1.31698e-24
0.10	3.46737	9.91116e-25
0.10	3.63078	7.48809e-25
0.10	3.80189	5.66929e-25
0.10	3.98107	4.29568e-25
0.10	4.16869	3.2537e-25
0.10	4.36516	2.46145e-25
0.10	4.57088	1.85849e-25
0.10	4.7863	1.39962e-25
0.10	5.01187	1.05149e-25
0.10	5.24807	7.87822e-26
0.10	5.49541	5.88729e-26
0.10	5.7544	4.39017e-26
0.10	6.0256	3.2678e-26
0.10	6.30957	2.43103e-26
0.10	6.60693	1.80837e-26
0.10	6.91831	1.34663e-26
0.10	7.24436	1.00497e-26
0.10	7.58578	7.52279e-27
0.10	7.94328	5.6531e-27
0.10	8.31764	4.26563e-27
0.10	8.70964	3.2318e-27
0.10	9.12011	2.45458e-27
0.10	9.54993	1.87308e-27
0.10	10.0	1.43012e-27
0.27	1.0	1.18301e-20
0.27	1.04713	8.69545e-21
0.27	1.09648	6.35687e-21
0.27	1.14815	4.62145e-21
0.27	1.20226	3.34017e-21
0.27	1.25893	2.39954e-21
0.27	1.31826	1.71297e-21
0.27	1.38038	1.21476e-21
0.27	1.44544	8.55546e-22
0.27	1.51356	5.98237e-22
0.27	1.58489	4.15212e-22
0.27	1.65959	2.85964e-22
0.27	1.7378	1.95329e-22
0.27	1.8197	1.32297e-22
0.27	1.90546	8.88252e-23
0.27	1.99526	5.90903e-23
0.27	2.0893	3.89421e-23
0.27	2.18776	2.5415e-23
0.27	2.29087	1.64189e-23
0.27	2.39883	1.05027e-23
0.27	2.51189	6.65173e-24
0.27	2.63027	4.17283e-24
0.27	2.75423	2.59656e-24
0.27	2.88403	1.60616e-24
0.27	3.01995	9.92232e-25
0.27	3.16228	6.16107e-25
0.27	3.31131	3.88541e-25
0.27	3.46737	2.51767e-25
0.27	3.63078	1.69166e-25
0.27	3.80189	1.18174e-25
0.27	3.98107	8.53066e-26
0.27	4.16869	6.30159e-26
0.27	4.36516	4.71884e-26
0.27	4.57088	3.55745e-26
0.27	4.7863	2.68936e-26
0.27	5.01187	2.03486e-26
0.27	5.24807	1.54013e-26
0.27	5.49541	1.16566e-26
0.27	5.7544	8.82553e-27
0.27	6.0256	6.68476e-27
0.27	6.30957	5.06592e-27
0.27	6.60693	3.84085e-27
0.27	6.91831	2.91298e-27
0.27	7.24436	2.20937e-27
0.27	7.58578	1.67597e-27
0.27	7.94328	1.27117e-27
0.27	8.31764	9.64106e-28
0.27	8.70964	7.30949e-28
0.27	9.12011	5.54409e-28
0.27	9.54993	4.20531e-28
0.27	10.0	3.18936e-28
0.50	1.0	1.18247e-20
0.50	1.04713	8.69078e-21
0.50	1.09648	6.35328e-21
0.50	1.14815	4.61836e-21
0.50	1.20226	3.33776e-21
0.50	1.25893	2.39756e-21
0.50	1.31826	1.71147e-21
0.50	1.38038	1.21353e-21
0.50	1.44544	8.54543e-22
0.50	1.51356	5.97435e-22
0.50	1.58489	4.14554e-22
0.50	1.65959	2.85394e-22
0.50	1.7378	1.9488e-22
0.50	1.8197	1.31926e-22
0.50	1.90546	8.85127e-23
0.50	1.99526	5.8831e-23
0.50	2.0893	3.87243e-23
0.50	2.18776	2.52334e-23
0.50	2.29087	1.62657e-23
0.50	2.39883	1.03724e-23
0.50	2.51189	6.5385e-24
0.50	2.63027	4.07356e-24
0.50	2.75423	2.50768e-24
0.50	2.88403	1.52527e-24
0.50	3.01995	9.1729e-25
0.50	3.16228	5.46002e-25
0.50	3.31131	3.22599e-25
0.50	3.46737	1.90277e-25
0.50	3.63078	1.13056e-25
0.50	3.80189	6.86841e-26
0.50	3.98107	4.33502e-26
0.50	4.16869	2.87386e-26
0.50	4.36516	2.00122e-26
0.50	4.57088	1.44617e-26
0.50	4.7863	1.06975e-26
0.50	5.01187	8.01551e-27
0.50	5.24807	6.04469e-27
0.50	5.49541	4.5715e-27
0.50	5.7544	3.46179e-27
0.50	6.0256	2.62298e-27
0.50	6.30957	1.9879e-27
0.50	6.60693	1.5067e-27
0.50	6.91831	1.1422e-27
0.50	7.24436	8.65875e-28
0.50	7.58578	6.5644e-28
0.50	7.94328	4.9766e-28
0.50	8.31764	3.77357e-28
0.50	8.70964	2.8609e-28
0.50	9.12011	2.169e-28
0.50	9.54993	1.64477e-28
0.50	10.0	1.24704e-28
1.00	1.0	1.18219e-20
1.00	1.04713	8.68897e-21
1.00	1.09648	6.35217e-21
1.00	1.14815	4.61766e-21
1.00	1.20226	3.33724e-21
1.00	1.25893	2.39721e-21
1.00	1.31826	1.71118e-21
1.00	1.38038	1.21332e-21
1.00	1.44544	8.54408e-22
1.00	1.51356	5.97335e-22
1.00	1.58489	4.14456e-22
1.00	1.65959	2.8533e-22
1.00	1.7378	1.94828e-22
1.00	1.8197	1.31878e-22
1.00	1.90546	8.84753e-23
1.00	1.99526	5.88015e-23
1.00	2.0893	3.86971e-23
1.00	2.18776	2.52073e-23
1.00	2.29087	1.6244e-23
1.00	2.39883	1.03511e-23
1.00	2.51189	6.51993e-24
1.00	2.63027	4.05652e-24
1.00	2.75423	2.49183e-24
1.00	2.88403	1.51046e-24
1.00	3.01995	9.03178e-25
1.00	3.16228	5.32436e-25
1.00	3.31131	3.09384e-25
1.00	3.46737	1.77281e-25
1.00	3.63078	1.00259e-25
1.00	3.80189	5.61398e-26
1.00	3.98107	3.13204e-26
1.00	4.16869	1.76354e-26
1.00	4.36516	1.02345e-26
1.00	4.57088	6.27875e-27
